nBossIndex	PosX	PosY
1	49729	110052
2	79364	101787
3	107845	52669
4	22598	41125
5	16860	86646
1	49887	108060
1	49877	106812
1	50051	105388
1	50359	103963
1	51109	102346
1	51456	113704
1	51417	112241
1	51514	110585
1	51668	108891
1	51841	107313
1	51995	105503
1	52572	112087
1	52842	110046
1	53073	107929
1	53342	106119
1	53573	104233
1	53978	102192
1	55248	102847
1	54998	104733
1	54709	107428
1	54401	108968
1	53939	111086
1	53824	112472
1	55113	111971
1	55614	110431
1	55980	108545
1	56249	106812
1	56499	104618
1	56865	102500
1	58136	103386
1	58059	106350
1	57616	108352
1	57135	109854
1	56345	111471
1	52226	103009
1	58983	107929
1	59079	106812
1	59194	104387
2	79416	99782
2	79517	97774
2	79619	96303
2	79803	94383
2	80130	92503
2	81785	93034
2	81540	94628
2	81233	96508
2	81111	98633
2	81009	100512
2	80968	102556
2	82459	103005
2	82582	101207
2	82664	99246
2	82745	97488
2	82909	95813
2	83195	93729
2	85116	94301
2	84911	95813
2	84666	97570
2	84482	99286
2	84237	100717
2	83954	103043
2	85302	103449
2	85586	101044
2	85892	99164
2	86137	97447
2	86280	95935
2	86607	94628
2	87915	95527
2	87711	97161
2	87302	99123
2	87200	100267
2	86813	101941
2	86568	103820
2	87833	102883
2	88099	101207
2	88446	98060
3	107985	51038
3	108024	49352
3	108102	47901
3	108200	46410
3	107828	54412
3	109397	53510
3	109357	51823
3	109455	50058
3	109495	48293
3	109554	46685
3	109554	44488
3	111062	43433
3	111042	44767
3	110964	46518
3	110924	48047
3	110905	49460
3	110672	51745
3	112089	50539
3	112089	48695
3	112187	47008
3	112207	45478
3	112364	43360
3	112344	41516
3	113452	41228
3	113531	42797
3	113413	44508
3	113558	45881
3	113460	47607
3	113420	49490
3	114843	42801
3	114784	44919
3	114705	46684
3	114686	48567
3	114705	50043
3	114568	51651
3	113205	51922
3	111657	53088
3	110436	54569
3	108769	55668
4	22652	39479
4	22658	37980
4	22578	36543
4	22758	34907
4	22977	33471
4	24394	33790
4	24214	35426
4	24194	37102
4	24134	38738
4	24134	39975
4	24034	41810
4	25311	41770
4	25351	40134
4	25371	38139
4	25491	36264
4	25531	34708
4	25710	33550
4	27267	34069
4	27027	35506
4	26907	37301
4	26768	38738
4	26608	40134
4	26489	42129
4	27765	41611
4	27925	39975
4	28164	38339
4	28504	37221
4	28683	35585
4	28703	34069
4	30100	34708
4	30040	36663
4	29860	38458
4	29401	40174
4	29062	41491
4	30197	41785
4	30474	40369
4	30758	38498
4	30898	36503
4	30998	34867
5	16831	85221
5	16988	83350
5	17286	81491
5	17657	79223
5	18234	77512
5	20093	78591
5	19201	80152
5	18714	82124
5	18233	83871
5	17942	85915
5	18048	87032
5	19312	87069
5	19424	85247
5	19721	83871
5	20186	81603
5	20930	79260
5	22213	80710
5	21469	83016
5	21004	84131
5	20800	85804
5	20409	87366
5	21562	88668
5	22027	86623
5	22677	84875
5	23124	83425
5	23514	82272
5	24648	83536
5	24090	85247
5	23551	86474
5	23012	87775
5	22213	89411
5	21153	90081
5	19944	89039
5	18773	88705
5	17547	88076
