NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=9695>	9180	40		20133	122001	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		21121	122595	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		22849	115603	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		24132	117351	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		20271	116964	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		21667	116507	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		20360	114924	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		22366	121647	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		18676	116419	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		18075	118067	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		18043	120097	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		19635	118473	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		21790	115078	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		22244	118227	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		19362	115827	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		19740	119976	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		11215	105787	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		12649	108278	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		11362	110395	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		8317	107638	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		11379	108058	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		9890	107109	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		10179	105340	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		9919	113317	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		9014	109168	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		9088	105648	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		9747	111538	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		6776	108524	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		8697	112992	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		12171	106523	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		12713	110085	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		10514	109268	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		27326	100889	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		27789	102547	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		28628	101814	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		32216	103483	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		28720	100482	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		30202	100528	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		32977	101546	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		30324	104038	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		30076	96664	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		28936	103819	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		33114	99245	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		28660	96869	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		28562	98757	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		30618	98548	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		32926	97060	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		31552	96424	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		46959	89519	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		48911	88822	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		48848	92893	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		44391	89729	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		49432	89866	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		46733	90751	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		47041	87471	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		44188	91445	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		45546	92085	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		47762	92304	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		44753	92987	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		45631	88249	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		49485	91220	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		45684	93723	0	0	191	-1	0	0			1
<i18n=9695>	9180	40		47809	90896	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		29313	69101	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		31634	66636	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		30870	69852	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		31512	68549	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		26074	65491	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		28472	66509	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		27232	66739	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		24801	68664	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		24749	66582	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		27710	69276	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		30880	67533	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		29608	70964	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		29422	64329	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		25780	67211	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		28278	64047	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		26027	37473	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		30187	40038	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		27101	37420	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		24367	38250	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		30341	38433	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		23406	41069	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		26434	35136	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		22253	38094	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		26699	41325	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		26403	43792	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		29240	41041	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		29381	36298	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		25368	35503	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		24048	40567	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		28262	39977	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		49430	61759	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		47042	59775	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		48065	58822	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		49414	59854	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		47978	60819	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		47172	58039	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		45957	58908	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		44723	61490	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		45781	62733	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		49102	63735	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		46812	63853	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		51165	61360	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		48122	57167	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		46108	60836	0	0	191	-1	0	0			1
<i18n=12558>	9181	40		49110	57970	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		62228	51250	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		60959	46023	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		62696	46363	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		60838	49990	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		58688	46614	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		62591	44618	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		60660	43813	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		57309	46808	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		57403	48892	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		59378	51276	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		63100	47720	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		62525	49294	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		64371	48874	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		58823	44666	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		59153	49264	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		63564	45879	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		52057	43884	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		50144	40782	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		53591	42596	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		55960	38803	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		54035	36007	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		53772	40703	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		53239	37289	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		48303	38412	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		52010	39290	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		54016	39035	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		49295	41810	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		50598	35972	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		54827	41548	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		49234	37368	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		51102	37427	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		77497	63238	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		77570	65396	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		77680	59316	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		77536	61114	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		73933	61224	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		76313	56648	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		77795	57543	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		72347	60684	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		72509	62816	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		73290	64486	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		75864	65916	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		79221	62552	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		74754	57155	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		76067	58992	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		72856	58289	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		75931	63958	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		89801	50001	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		86628	52943	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		87844	52042	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		86435	48892	0	0	191	-1	0	0			1
<i18n=13967>	9182	40		85677	47141	0	0	191	-1	0	0			1
