NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=10476>	9156	30		15409	87888	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		12954	81234	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		14107	87866	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		15020	80500	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		13114	82841	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		15948	85824	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		17326	83191	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		16631	81142	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		16190	82618	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		14522	73616	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		14634	69986	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		16298	73124	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		12386	67189	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		13739	66577	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		11896	69511	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		13025	73310	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		15540	66452	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		13199	68176	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		19531	57340	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		21402	62394	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		22756	62347	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		24888	59484	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		22364	55020	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		23310	56485	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		21943	58643	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		19409	59938	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		22957	60612	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		20615	55297	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		20832	56748	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		31778	74252	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		35362	71209	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		34381	67326	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		30795	67331	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		29829	71513	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		34061	72179	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		32668	70669	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		31280	68827	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		34251	68596	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		32801	66709	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		33488	74095	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		41331	81450	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		42986	81430	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		41733	76527	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		41671	79520	0	0	191	-1	0	0			1		maplevel130
<i18n=10476>	9156	30		40364	74565	0	0	191	-1	0	0			1		maplevel130
