NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	LevelSettingKey
蒙古守卫		12259	110		81600	89360	0	0	191	-1	0	0				
蒙古守卫		12259	110		79300	85607	0	0	191	-1	0	0				
蒙古守卫		12259	110		83978	89290	0	0	191	-1	0	0				
蒙古守卫		12259	110		79862	87433	0	0	191	-1	0	0				
蒙古守卫		12259	110		81048	87452	0	0	191	-1	0	0				
蒙古守卫		12259	110		85167	85500	0	0	191	-1	0	0				
蒙古守卫		12259	110		82208	87514	0	0	191	-1	0	0				
蒙古守卫		12259	110		80434	85590	0	0	191	-1	0	0				
蒙古守卫		12259	110		84005	85593	0	0	191	-1	0	0				
蒙古守卫		12259	110		82770	89361	0	0	191	-1	0	0				
蒙古守卫		12259	110		81611	85577	0	0	191	-1	0	0				
蒙古守卫		12259	110		80405	91124	0	0	191	-1	0	0				
蒙古守卫		12259	110		81604	91067	0	0	191	-1	0	0				
蒙古守卫		12259	110		82790	91115	0	0	191	-1	0	0				
蒙古守卫		12259	110		83977	91072	0	0	191	-1	0	0				
蒙古守卫		12259	110		80381	89417	0	0	191	-1	0	0				
蒙古守卫		12259	110		12103	20356	0	0	191	-1	0	0				
蒙古守卫		12259	110		9391	16906	0	0	191	-1	0	0				
蒙古守卫		12259	110		13215	20129	0	0	191	-1	0	0				
蒙古守卫		12259	110		13872	20592	0	0	191	-1	0	0				
蒙古守卫		12259	110		13912	21564	0	0	191	-1	0	0				
蒙古守卫		12259	110		14879	20126	0	0	191	-1	0	0				
蒙古守卫		12259	110		13110	18910	0	0	191	-1	0	0				
蒙古守卫		12259	110		14929	21364	0	0	191	-1	0	0				
蒙古守卫		12259	110		11050	19896	0	0	191	-1	0	0				
蒙古守卫		12259	110		10684	18678	0	0	191	-1	0	0				
蒙古守卫		12259	110		12766	17813	0	0	191	-1	0	0				
蒙古守卫		12259	110		11592	17819	0	0	191	-1	0	0				
蒙古守卫		12259	110		10388	15834	0	0	191	-1	0	0				
蒙古守卫		12259	110		11994	19172	0	0	191	-1	0	0				
蒙古守卫		12259	110		9846	20502	0	0	191	-1	0	0				
蒙古守卫		12259	110		13204	21998	0	0	191	-1	0	0				
昌宁流户		12257	110		38468	73340	0	0	191	-1	0	0				
昌宁流户		12257	110		39600	73352	0	0	191	-1	0	0				
昌宁流户		12257	110		42520	75258	0	0	191	-1	0	0				
昌宁流户		12257	110		39013	75141	0	0	191	-1	0	0				
昌宁流户		12257	110		40153	75170	0	0	191	-1	0	0				
昌宁流户		12257	110		42545	71592	0	0	191	-1	0	0				
昌宁流户		12257	110		40800	73362	0	0	191	-1	0	0				
昌宁流户		12257	110		41954	73446	0	0	191	-1	0	0				
昌宁流户		12257	110		41350	75251	0	0	191	-1	0	0				
昌宁流户		12257	110		41366	71596	0	0	191	-1	0	0				
昌宁流户		12257	110		43112	73429	0	0	191	-1	0	0				
昌宁流户		12257	110		42497	77205	0	0	191	-1	0	0				
昌宁流户		12257	110		43652	75186	0	0	191	-1	0	0				
昌宁流户		12257	110		40222	71557	0	0	191	-1	0	0				
昌宁流户		12257	110		38993	77302	0	0	191	-1	0	0				
昌宁流户		12257	110		37878	75156	0	0	191	-1	0	0				
火儿赤		12258	110		64401	39971	0	0	191	-1	0	0				
火儿赤		12258	110		60450	38135	0	0	191	-1	0	0				
火儿赤		12258	110		58779	36204	0	0	191	-1	0	0				
火儿赤		12258	110		59863	39904	0	0	191	-1	0	0				
火儿赤		12258	110		63355	39949	0	0	191	-1	0	0				
火儿赤		12258	110		59350	38176	0	0	191	-1	0	0				
火儿赤		12258	110		63920	38123	0	0	191	-1	0	0				
火儿赤		12258	110		63379	41684	0	0	191	-1	0	0				
