NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	LevelSettingKey
<i18n=24718>		12265	110		38352	66696	0	0	191	-1	0	0				
<i18n=24718>		12265	110		34712	65103	0	0	191	-1	0	0				
<i18n=24718>		12265	110		37077	65039	0	0	191	-1	0	0				
<i18n=24718>		12265	110		38353	65049	0	0	191	-1	0	0				
<i18n=24718>		12265	110		35905	61543	0	0	191	-1	0	0				
<i18n=24718>		12265	110		37070	63209	0	0	191	-1	0	0				
<i18n=24718>		12265	110		38360	63122	0	0	191	-1	0	0				
<i18n=24718>		12265	110		35906	63239	0	0	191	-1	0	0				
<i18n=24718>		12265	110		37072	66702	0	0	191	-1	0	0				
<i18n=24718>		12265	110		35972	59770	0	0	191	-1	0	0				
<i18n=24718>		12265	110		38363	61582	0	0	191	-1	0	0				
<i18n=24718>		12265	110		39613	65040	0	0	191	-1	0	0				
<i18n=24718>		12265	110		37108	61575	0	0	191	-1	0	0				
<i18n=24708>		12263	110		47742	117836	0	0	191	-1	0	0				
<i18n=24708>		12263	110		48727	123025	0	0	191	-1	0	0				
<i18n=24708>		12263	110		47602	123030	0	0	191	-1	0	0				
<i18n=24708>		12263	110		48712	121368	0	0	191	-1	0	0				
<i18n=24708>		12263	110		46379	123003	0	0	191	-1	0	0				
<i18n=24708>		12263	110		47611	121375	0	0	191	-1	0	0				
<i18n=24708>		12263	110		48731	119671	0	0	191	-1	0	0				
<i18n=24708>		12263	110		43992	123048	0	0	191	-1	0	0				
<i18n=24708>		12263	110		46425	119630	0	0	191	-1	0	0				
<i18n=24708>		12263	110		46414	121401	0	0	191	-1	0	0				
<i18n=24708>		12263	110		45206	117799	0	0	191	-1	0	0				
<i18n=24708>		12263	110		47686	119632	0	0	191	-1	0	0				
<i18n=24708>		12263	110		46447	117782	0	0	191	-1	0	0				
<i18n=24708>		12263	110		44033	121371	0	0	191	-1	0	0				
<i18n=24708>		12263	110		45178	119624	0	0	191	-1	0	0				
<i18n=24708>		12263	110		45158	123022	0	0	191	-1	0	0				
<i18n=24708>		12263	110		46407	124758	0	0	191	-1	0	0				
<i18n=24708>		12263	110		44080	119680	0	0	191	-1	0	0				
<i18n=24708>		12263	110		45150	121367	0	0	191	-1	0	0				
<i18n=24708>		12263	110		47590	124736	0	0	191	-1	0	0				
<i18n=24708>		12263	110		45164	124726	0	0	191	-1	0	0				
<i18n=24709>		12264	110		58700	99809	0	0	191	-1	0	0				
<i18n=24709>		12264	110		62401	104984	0	0	191	-1	0	0				
<i18n=24709>		12264	110		63580	101411	0	0	191	-1	0	0				
<i18n=24709>		12264	110		62431	99909	0	0	191	-1	0	0				
<i18n=24709>		12264	110		62438	98070	0	0	191	-1	0	0				
<i18n=24709>		12264	110		61166	105005	0	0	191	-1	0	0				
<i18n=24709>		12264	110		62397	103326	0	0	191	-1	0	0				
<i18n=24709>		12264	110		62437	101536	0	0	191	-1	0	0				
<i18n=24709>		12264	110		59981	105001	0	0	191	-1	0	0				
<i18n=24709>		12264	110		61168	103314	0	0	191	-1	0	0				
<i18n=24709>		12264	110		61191	99918	0	0	191	-1	0	0				
<i18n=24709>		12264	110		63574	103290	0	0	191	-1	0	0				
<i18n=24709>		12264	110		59976	101511	0	0	191	-1	0	0				
<i18n=24709>		12264	110		59967	103345	0	0	191	-1	0	0				
<i18n=24709>		12264	110		58650	103345	0	0	191	-1	0	0				
<i18n=24709>		12264	110		61174	101599	0	0	191	-1	0	0				
<i18n=24709>		12264	110		61187	97979	0	0	191	-1	0	0				
<i18n=24709>		12264	110		59987	99832	0	0	191	-1	0	0				
<i18n=24709>		12264	110		58686	101548	0	0	191	-1	0	0				
<i18n=24709>		12264	110		60006	98015	0	0	191	-1	0	0				
<i18n=24709>		12264	110		63578	99854	0	0	191	-1	0	0				
<i18n=24718>		12265	110		39602	63154	0	0	191	-1	0	0				
<i18n=24718>		12265	110		39621	61554	0	0	191	-1	0	0				
<i18n=24718>		12265	110		38409	59809	0	0	191	-1	0	0				
