NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	LevelSettingKey
<i18n=24712>		12266	120		66495	107513	0	0	191	-1	0	0				
<i18n=24712>		12266	120		66497	109214	0	0	191	-1	0	0				
<i18n=24712>		12266	120		65118	112693	0	0	191	-1	0	0				
<i18n=24712>		12266	120		62441	107270	0	0	191	-1	0	0				
<i18n=24712>		12266	120		65109	110993	0	0	191	-1	0	0				
<i18n=24712>		12266	120		63828	109132	0	0	191	-1	0	0				
<i18n=24712>		12266	120		63813	111055	0	0	191	-1	0	0				
<i18n=24712>		12266	120		67789	109171	0	0	191	-1	0	0				
<i18n=24712>		12266	120		62443	110980	0	0	191	-1	0	0				
<i18n=24712>		12266	120		62406	109091	0	0	191	-1	0	0				
<i18n=24712>		12266	120		65128	109235	0	0	191	-1	0	0				
<i18n=24712>		12266	120		67783	110954	0	0	191	-1	0	0				
<i18n=24712>		12266	120		63784	112690	0	0	191	-1	0	0				
<i18n=24712>		12266	120		65105	105791	0	0	191	-1	0	0				
<i18n=24712>		12266	120		66506	110975	0	0	191	-1	0	0				
<i18n=24712>		12266	120		66518	105794	0	0	191	-1	0	0				
<i18n=24712>		12266	120		65088	107522	0	0	191	-1	0	0				
<i18n=24712>		12266	120		63796	107408	0	0	191	-1	0	0				
<i18n=24712>		12266	120		63794	105789	0	0	191	-1	0	0				
<i18n=24712>		12266	120		66530	112711	0	0	191	-1	0	0				
<i18n=24712>		12266	120		67805	107505	0	0	191	-1	0	0				
<i18n=24715>		12268	120		49979	114007	0	0	191	-1	0	0				
<i18n=24715>		12268	120		47624	117388	0	0	191	-1	0	0				
<i18n=24715>		12268	120		49983	117317	0	0	191	-1	0	0				
<i18n=24715>		12268	120		51031	113921	0	0	191	-1	0	0				
<i18n=24715>		12268	120		48842	110576	0	0	191	-1	0	0				
<i18n=24715>		12268	120		46550	112016	0	0	191	-1	0	0				
<i18n=24715>		12268	120		46549	114022	0	0	191	-1	0	0				
<i18n=24715>		12268	120		51102	115887	0	0	191	-1	0	0				
<i18n=24715>		12268	120		46530	115887	0	0	191	-1	0	0				
<i18n=24715>		12268	120		50018	115876	0	0	191	-1	0	0				
<i18n=24715>		12268	120		49983	112062	0	0	191	-1	0	0				
<i18n=24715>		12268	120		49999	110578	0	0	191	-1	0	0				
<i18n=24715>		12268	120		47616	115886	0	0	191	-1	0	0				
<i18n=24715>		12268	120		47629	114021	0	0	191	-1	0	0				
<i18n=24715>		12268	120		48823	117404	0	0	191	-1	0	0				
<i18n=24715>		12268	120		47655	110590	0	0	191	-1	0	0				
<i18n=24715>		12268	120		48805	113963	0	0	191	-1	0	0				
<i18n=24715>		12268	120		48798	115871	0	0	191	-1	0	0				
<i18n=24715>		12268	120		48824	112079	0	0	191	-1	0	0				
<i18n=24715>		12268	120		47616	112069	0	0	191	-1	0	0				
<i18n=24715>		12268	120		51021	111999	0	0	191	-1	0	0				
<i18n=24716>		12267	120		78492	30032	0	0	191	-1	0	0				
<i18n=24716>		12267	120		78462	31666	0	0	191	-1	0	0				
<i18n=24716>		12267	120		78405	33519	0	0	191	-1	0	0				
<i18n=24716>		12267	120		77003	35270	0	0	191	-1	0	0				
<i18n=24716>		12267	120		75673	35256	0	0	191	-1	0	0				
<i18n=24716>		12267	120		79740	29945	0	0	191	-1	0	0				
<i18n=24716>		12267	120		74687	30049	0	0	191	-1	0	0				
<i18n=24716>		12267	120		78490	28328	0	0	191	-1	0	0				
<i18n=24716>		12267	120		78397	35262	0	0	191	-1	0	0				
<i18n=24716>		12267	120		75830	28414	0	0	191	-1	0	0				
<i18n=24716>		12267	120		77174	30040	0	0	191	-1	0	0				
<i18n=24716>		12267	120		74651	33489	0	0	191	-1	0	0				
<i18n=24716>		12267	120		77192	28357	0	0	191	-1	0	0				
<i18n=24716>		12267	120		75796	31740	0	0	191	-1	0	0				
<i18n=24716>		12267	120		75732	33463	0	0	191	-1	0	0				
<i18n=24716>		12267	120		74678	31650	0	0	191	-1	0	0				
<i18n=24716>		12267	120		79717	33522	0	0	191	-1	0	0				
<i18n=24716>		12267	120		79732	31727	0	0	191	-1	0	0				
<i18n=24716>		12267	120		77061	33512	0	0	191	-1	0	0				
<i18n=24716>		12267	120		77075	31663	0	0	191	-1	0	0				
<i18n=24716>		12267	120		75851	30065	0	0	191	-1	0	0				
<i18n=24712>		12266	120		71083	99340	0	0	191	-1	0	0				
<i18n=24712>		12266	120		72417	99343	0	0	191	-1	0	0				
<i18n=24712>		12266	120		73829	99361	0	0	191	-1	0	0				
<i18n=24712>		12266	120		75082	97604	0	0	191	-1	0	0				
<i18n=24712>		12266	120		73805	97625	0	0	191	-1	0	0				
<i18n=24712>		12266	120		72408	97643	0	0	191	-1	0	0				
<i18n=24712>		12266	120		71112	97705	0	0	191	-1	0	0				
<i18n=24712>		12266	120		69742	97630	0	0	191	-1	0	0				
<i18n=24712>		12266	120		69705	95741	0	0	191	-1	0	0				
<i18n=24712>		12266	120		71127	95782	0	0	191	-1	0	0				
<i18n=24712>		12266	120		72427	95885	0	0	191	-1	0	0				
<i18n=24712>		12266	120		73796	95864	0	0	191	-1	0	0				
<i18n=24712>		12266	120		75088	95821	0	0	191	-1	0	0				
<i18n=24712>		12266	120		75104	94155	0	0	191	-1	0	0				
<i18n=24712>		12266	120		73794	94163	0	0	191	-1	0	0				
<i18n=24712>		12266	120		72387	94172	0	0	191	-1	0	0				
<i18n=24712>		12266	120		71095	94058	0	0	191	-1	0	0				
<i18n=24712>		12266	120		69740	93920	0	0	191	-1	0	0				
<i18n=24712>		12266	120		71093	92439	0	0	191	-1	0	0				
<i18n=24712>		12266	120		72404	92441	0	0	191	-1	0	0				
<i18n=24712>		12266	120		73817	92444	0	0	191	-1	0	0				
<i18n=24712>		12266	120		81228	89255	0	0	191	-1	0	0				
<i18n=24712>		12266	120		82562	89258	0	0	191	-1	0	0				
<i18n=24712>		12266	120		83974	89276	0	0	191	-1	0	0				
<i18n=24712>		12266	120		85227	87519	0	0	191	-1	0	0				
<i18n=24712>		12266	120		83950	87540	0	0	191	-1	0	0				
<i18n=24712>		12266	120		82553	87558	0	0	191	-1	0	0				
<i18n=24712>		12266	120		81257	87620	0	0	191	-1	0	0				
<i18n=24712>		12266	120		79887	87545	0	0	191	-1	0	0				
<i18n=24712>		12266	120		79850	85656	0	0	191	-1	0	0				
<i18n=24712>		12266	120		81272	85697	0	0	191	-1	0	0				
<i18n=24712>		12266	120		82572	85800	0	0	191	-1	0	0				
<i18n=24712>		12266	120		83941	85779	0	0	191	-1	0	0				
<i18n=24712>		12266	120		85233	85736	0	0	191	-1	0	0				
<i18n=24712>		12266	120		85249	84070	0	0	191	-1	0	0				
<i18n=24712>		12266	120		83939	84078	0	0	191	-1	0	0				
<i18n=24712>		12266	120		82532	84087	0	0	191	-1	0	0				
<i18n=24712>		12266	120		81240	83973	0	0	191	-1	0	0				
<i18n=24712>		12266	120		79885	83835	0	0	191	-1	0	0				
<i18n=24712>		12266	120		79949	89263	0	0	191	-1	0	0				
<i18n=24712>		12266	120		85255	82385	0	0	191	-1	0	0				
<i18n=24712>		12266	120		83962	82359	0	0	191	-1	0	0				
<i18n=24712>		12266	120		91070	78202	0	0	191	-1	0	0				
<i18n=24712>		12266	120		92404	78205	0	0	191	-1	0	0				
<i18n=24712>		12266	120		93816	78223	0	0	191	-1	0	0				
<i18n=24712>		12266	120		95069	76466	0	0	191	-1	0	0				
<i18n=24712>		12266	120		93792	76487	0	0	191	-1	0	0				
<i18n=24712>		12266	120		92395	76505	0	0	191	-1	0	0				
<i18n=24712>		12266	120		91099	76567	0	0	191	-1	0	0				
<i18n=24712>		12266	120		89729	76492	0	0	191	-1	0	0				
<i18n=24712>		12266	120		89692	74603	0	0	191	-1	0	0				
<i18n=24712>		12266	120		91114	74644	0	0	191	-1	0	0				
<i18n=24712>		12266	120		92414	74747	0	0	191	-1	0	0				
<i18n=24712>		12266	120		93783	74726	0	0	191	-1	0	0				
<i18n=24712>		12266	120		95075	74683	0	0	191	-1	0	0				
<i18n=24712>		12266	120		95091	73017	0	0	191	-1	0	0				
<i18n=24712>		12266	120		93781	73025	0	0	191	-1	0	0				
<i18n=24712>		12266	120		92374	73034	0	0	191	-1	0	0				
<i18n=24712>		12266	120		91082	72920	0	0	191	-1	0	0				
<i18n=24712>		12266	120		89727	72782	0	0	191	-1	0	0				
<i18n=24712>		12266	120		91080	71301	0	0	191	-1	0	0				
<i18n=24712>		12266	120		92391	71303	0	0	191	-1	0	0				
<i18n=24712>		12266	120		93804	71273	0	0	191	-1	0	0				
<i18n=24712>		12266	120		80279	71058	0	0	191	-1	0	0				
