Camp	NpcTemplateId	PosX	PosY
3	12270	42051	48680
1	12271	14299	38143
1	12271	13835	39863
1	12273	13052	39091
1	12271	43197	29939
1	12271	44403	27551
1	12271	44340	31524
1	12271	45745	28689
1	12272	43521	28259
1	12272	45391	30230
1	12273	44383	29432
2	12276	51485	82199
2	12276	52966	79769
2	12276	52074	78548
2	12276	52615	81837
2	12277	50833	79388
2	12278	51685	80421
2	12276	48482	56788
2	12276	50232	55828
2	12276	48337	55120
2	12276	50144	54167
2	12277	49477	56879
2	12277	49240	53761
2	12278	49219	55274
2	12276	70588	55974
2	12277	69051	58188
2	12276	69935	59695
2	12276	71455	57116
2	12277	69337	56341
2	12278	70177	57775
2	12276	71148	58963
2	12279	53806	60555
1	12273	12321	40444
1	12271	15074	39243
1	12273	13346	41544
1	12273	14477	40941
1	12272	24398	54154
1	12272	25132	53135
1	12272	25813	51891
1	12272	24761	52200
1	12272	25116	50722
1	12272	23689	52797
1	12272	24116	51182
1	12272	30850	17208
1	12272	31259	15794
1	12272	32193	15563
1	12272	32034	16990
1	12272	31644	18579
1	12272	32780	17839
1	12272	33170	15799
1	12272	33631	42761
1	12271	33949	41066
1	12274	30858	38107
1	12271	34500	44003
1	12272	36035	41445
1	12271	35033	40649
1	12273	34724	42141
1	12271	35550	42951
1	12275	23321	30523
2	12276	41590	69915
2	12276	42754	70357
2	12276	43306	68820
2	12278	42175	68478
2	12277	41147	68334
2	12277	41732	66897
2	12276	42834	67051
2	12280	60708	67903
2	12276	61094	47001
2	12276	62014	47031
2	12276	62009	44194
2	12277	61105	44304
2	12277	60618	45618
2	12276	62369	45588
2	12278	61494	45506
2	12277	50600	81256
