NpcTemplateId	PosX	PosY
12410	57729	68970
12417	50460	71421
13055	63821	90107
13055	28688	56831
13055	52046	35722
13056	42731	77335
13056	62138	60634
13056	43915	59289
13056	47220	56301
13056	37239	49227
13056	71211	49109
13056	67536	54039
13056	69350	46578
13056	64901	51703
13056	79036	93419
13056	76495	90745
13056	88512	103855
13056	90549	101751
13056	82575	61053
13056	65162	74399
13056	54021	75208
13056	46594	73141
13056	37639	70985
13057	105104	118395
13057	46893	67972
13057	54801	58262
13057	74319	45488
13057	37206	80522
13057	86724	61757
13057	103710	65867
13057	59606	46571
13057	25764	54273
13057	54186	30343
13057	87729	80179
13057	71245	65814
12422	96741	112381
12422	97752	113460
12422	98821	114536
12422	99846	115529
12422	100922	116686
12422	98704	110121
12422	99715	111200
12422	100703	112176
12422	101809	113269
12422	102865	114446
12422	106993	122716
12422	109106	120787
12422	108122	123686
12422	110993	122402
12422	68639	84920
12422	69536	84128
12422	73420	80173
12422	72495	81055
12422	55093	73905
12422	56397	72824
12422	61908	67889
12422	63405	66551
12422	25870	36797
12422	27053	35894
12422	35139	47784
12422	33438	46218
12422	38579	45799
12422	37201	44216
12422	35834	42839
12422	31918	44876
12422	49569	107978
12422	50937	109522
12422	52551	111067
12422	46494	105238
12422	55152	111463
12422	56772	112951
12422	66030	122024
12422	67482	123346
12422	70590	121278
12422	74509	117642
12422	77656	114117
12422	80804	111039
12422	83978	107767
12422	86844	104968
12422	91723	100397
12422	94771	97573
12422	97512	94721
12422	101907	90061
12422	105871	86232
12422	109067	83044
12422	86493	67219
12422	46751	93601
12422	48821	96179
12422	40124	86593
12422	38519	85196
12422	26273	62528
12422	31567	68169
12422	24249	60490
12422	84545	99086
12422	82932	97405
12422	80554	95029
12422	74891	89348
12422	73445	87816
12422	58125	96685
12422	60052	94663
12422	54780	99857
12422	77351	76617
12422	89744	63987
12422	95288	68016
12422	97638	70448
12422	99863	72707
12422	101923	74938
12422	104404	77602
12422	33685	70715
12422	43675	64156
12422	47629	48013
12422	49640	45746
12422	51369	44275
12422	55174	43461
12422	57421	43911
12422	62183	48493
13063	107204	116310
13063	108043	115652
13063	108180	117197
13063	103108	120799
13063	102119	120387
13063	102897	119548
13063	55436	72692
13063	62603	66031
13065	45149	68118
13065	46153	70138
13065	48437	68181
13065	47000	65999
13065	52699	58341
13065	53816	60374
13065	56336	58007
13065	54688	56237
