Batch	NpcTemplateId	PosX	PosY
1	12201	39933	176967
1	12201	40748	172428
2	12201	66018	172169
3	12201	88497	174424
4	12201	112327	182311
5	12201	122408	137516
5	12201	120691	154843
6	12201	117770	86527
7	12201	107347	47807
1	12201	44029	174502
1	12201	43161	179337
2	12201	59829	175572
2	12201	66919	176770
3	12201	86731	178989
3	12201	89634	183204
4	12201	105719	186178
4	12201	109015	187092
4	12201	114987	184826
5	12201	118191	141527
5	12201	119663	135922
6	12201	116225	93526
6	12201	112488	94230
6	12201	116328	80772
7	12201	104743	45464
7	12201	112363	46701
2	12201	62384	179070
1	12201	42090	175949
1	12201	45483	178596
2	12201	64844	175959
2	12201	62113	174249
3	12201	92515	179740
3	12201	89859	179240
3	12201	92159	182818
4	12201	112084	185659
4	12201	109916	182850
5	12201	121553	149501
5	12201	121293	143351
6	12201	115043	97289
6	12201	114671	88233
7	12201	109573	43926
7	12201	109845	47222
7	12201	102807	43425
