Type	PosX	PosY
PILLAR_1	58196	55079
SOLDIER	59540	55613
SOLDIER	59070	52826
SOLDIER	57821	52873
SOLDIER	56795	55122
SOLDIER	57281	56658
SOLDIER	59221	57265
OFFICER	58893	54310
OFFICER	57556	54173
OFFICER	58308	56656
PILLAR_2	40597	113234
SOLDIER	42327	113464
SOLDIER	41895	111232
SOLDIER	40139	110757
SOLDIER	38354	112932
SOLDIER	39122	115068
SOLDIER	41247	116068
OFFICER	41352	112402
OFFICER	39614	112394
OFFICER	40416	114616
PILLAR_3	94008	89778
SOLDIER	95663	90116
SOLDIER	95401	87694
SOLDIER	93164	87651
SOLDIER	92110	90379
SOLDIER	93078	92275
SOLDIER	94954	92842
OFFICER	93113	89271
OFFICER	94853	89039
OFFICER	94219	91180
FRONT_1	45789	84332
FRONT_2	80896	67332
