PosX	PosY
47831	68985
46172	75941
44684	85492
36638	86972
54947	69520
63294	74871
61370	55708
58572	51205
55589	59247
54100	53347
48843	49251
45231	55296
45039	44135
42390	50856
39591	64384
76938	70697
71213	61066
67896	59568
70946	75406
84536	53254
79828	51435
74477	44693
76136	37630
68423	39924
68512	50412
94756	52826
96522	56465
93632	71554
87533	73052
84750	76904
97913	83646
93686	87927
90689	92849
87265	96702
81892	98711
90537	129045
75291	101911
82457	112099
74663	129330
76944	118041
79057	92402
79333	106968
57783	119175
54626	117141
47387	106000
43229	118909
54993	145520
34483	116969
42640	134585
51232	152245
41786	104139
42606	110168
36605	104202
54794	136152
45608	147996
64706	154895
67468	147515
