nBossIndex	PosX	PosY
1	47085	147430
2	86224	124812
3	96590	86751
4	70456	39471
5	36528	117096
1	49817	146690
1	46786	144740
1	47051	142523
1	47726	140450
1	47991	137992
1	49654	138426
1	49775	140836
1	49630	142812
1	49654	144885
1	52305	146957
1	52402	144547
1	52643	141848
1	52715	139775
1	52932	137462
1	55342	138281
1	55318	140546
1	55125	142523
1	55005	144258
1	54932	146716
1	57005	146572
1	57295	144495
1	57535	140354
1	57270	137703
1	57270	142089
1	47919	135100
1	49630	135389
1	51944	135533
1	54547	135533
1	56716	135919
1	50956	143728
1	50980	141703
1	51124	139052
1	48256	144065
1	48304	145897
1	54161	139052
1	53896	141221
1	53703	143631
1	48401	140595
1	51289	147780
1	53753	147973
2	83201	129727
2	83500	127480
2	83841	125529
2	84012	122652
2	84377	121287
2	86206	122116
2	85743	123969
2	85401	125871
2	85011	127772
2	84792	129187
2	84767	131040
2	86206	131283
2	86474	129187
2	86767	127139
2	87084	125334
2	87596	124018
2	89376	124603
2	88912	127139
2	88108	128748
2	87327	131040
2	88717	131576
2	89912	129382
2	90595	126895
2	91375	128894
2	90619	130942
2	92082	130064
2	84889	119385
2	86084	120117
2	87474	121482
2	81330	131478
2	82110	129723
2	85304	117776
2	86547	118605
2	87786	119343
2	82744	125188
2	88059	126407
2	88376	124944
2	88864	129918
2	89644	127139
2	85552	130007
3	93738	88776
3	93732	87255
3	93959	85483
3	94289	82952
3	94896	81078
3	96567	82243
3	96263	84271
3	95680	86045
3	95453	88271
3	95301	89791
3	95250	91255
3	98162	82400
3	97880	84227
3	97552	86449
3	97172	88016
3	96846	89483
3	96491	91406
3	98187	91103
3	98567	89229
3	98845	88065
3	99453	85736
3	99858	84369
3	100035	81838
3	101655	83508
3	101225	84673
3	100744	85837
3	100161	87862
3	99883	89179
3	101630	88571
3	102035	87255
3	102617	85382
3	103275	84065
3	104389	85179
3	103781	86951
3	103174	88622
3	104566	87964
3	105199	86546
4	67120	46125
4	67269	44481
4	67475	43018
4	67841	41326
4	68069	39315
4	69333	39571
4	69207	41418
4	69259	43300
4	68498	45312
4	67875	47021
4	67978	49007
4	69326	48550
4	69647	46721
4	69852	44984
4	70406	42952
4	70758	41566
4	71452	40366
4	72481	41189
4	72115	42378
4	71681	43566
4	71161	45255
4	70747	47266
4	70287	49327
4	71887	49007
4	72344	47498
4	72710	46218
4	73258	44572
4	73761	42698
4	73875	40823
4	72092	44892
4	71567	46950
4	68961	46309
4	69888	41794
4	71020	43335
4	68334	43390
4	68458	41463
4	66575	48024
5	36695	115310
5	36918	113035
5	37216	110925
5	37697	108953
5	38500	106568
5	39991	107164
5	39417	109366
5	39005	111613
5	38752	113448
5	38590	115194
5	38137	117521
5	39509	117393
5	39968	115237
5	40518	112943
5	40816	111521
5	41344	109182
5	41917	106935
5	43614	107393
5	43179	110008
5	42766	112164
5	42236	113544
5	41780	115420
5	41206	117668
5	43477	117301
5	43462	115187
5	44348	112806
5	44761	111109
5	45220	108907
5	45633	106522
5	46986	108081
5	46481	110604
5	46183	112255
5	45816	114001
5	45411	115378
5	45266	117209
5	38185	119453
5	39890	119453
5	41694	119367
