NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=6379>	28	50	6	76147	44902	0	0	191	1	0	0					
<i18n=6379>	28	50	6	78449	45855	0	0	191	1	0	0					
<i18n=6379>	28	50	6	76939	47934	0	0	191	1	0	0					
<i18n=61>	29	50	7	82183	48306	0	0	191	2	0	0					
<i18n=61>	29	50	7	80758	51290	0	0	191	2	0	0					
<i18n=61>	29	50	7	83094	51950	0	0	191	2	0	0					
<i18n=14637>	30	50	8	85242	46149	0	0	191	3	0	0					
<i18n=14637>	30	50	8	87059	45801	0	0	191	3	0	0					
<i18n=14637>	30	50	8	85773	49170	0	0	191	3	0	0					
<i18n=12456>	31	50	9	80144	39620	0	0	191	4	0	0					
<i18n=12456>	31	50	9	78236	41474	0	0	191	4	0	0					
<i18n=12456>	31	50	9	80046	43002	0	0	191	4	0	0					
<i18n=2513>	32	50	10	86524	39011	0	0	191	5	0	0					
<i18n=2513>	32	50	10	85025	41491	0	0	191	5	0	0					
<i18n=2513>	32	50	10	84654	38785	0	0	191	5	0	0					
<i18n=6881>	1001	10		51680	127790	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		53379	127759	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		53404	122133	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		53250	125202	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		51286	120346	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		55073	122777	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		50526	121906	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		50198	124398	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		50363	126477	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		51906	125240	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		54508	120459	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		54714	126640	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		54980	124896	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		53004	120061	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		51811	122049	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		46846	121539	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		46819	123442	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		43197	124656	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		45461	122549	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		45404	124955	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		42312	123067	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		41951	121376	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		45427	118555	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		43934	118603	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		43500	120403	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		43363	122813	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		45505	120267	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		42353	118966	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		46639	119940	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		44226	125389	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		15595	107469	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		16947	107458	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		18465	106256	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		18759	104366	0	0	191	-1	0	0			1		
