nIndex	PosX	PosY
1	46192	93603
2	46251	90231
3	47874	91816
4	49594	93405
5	49734	90245
6	35523	84678
7	37106	86200
8	38688	87892
9	39975	89208
10	41568	90548
11	43326	91576
12	30373	83325
13	30495	80120
14	31953	82084
15	33727	83628
16	33859	80241
17	29424	77745
18	28038	76230
19	26676	74461
20	26507	71707
21	23213	69128
22	23329	65015
23	24803	67264
24	26383	64766
25	26503	68544
26	25443	62057
27	26679	60311
28	27903	58641
29	29209	56950
30	30801	55373
31	31899	52633
32	32259	49350
33	33507	51183
34	35255	52730
35	35083	49409
36	37391	48869
37	38720	47525
38	40113	46053
39	41783	44630
40	43450	42499
41	46574	45168
42	46597	41087
43	48248	43144
44	50104	45041
45	49960	41323
46	52518	43376
47	54382	44355
48	56216	45232
49	57677	46755
50	58857	48246
51	60962	52236
52	61110	48804
53	62682	50616
54	64018	52062
55	64156	48859
56	65869	54397
57	67282	56239
58	68730	58397
59	69922	60764
60	69647	64326
61	69235	68465
62	72649	68582
63	72801	65036
64	70971	66727
65	69369	71441
66	68621	73921
67	67547	76004
68	66489	77692
69	65202	79730
70	65332	84052
71	63920	81982
72	62340	83876
73	62651	79877
74	59780	84325
75	58566	86452
76	56964	88832
77	55018	90130
78	52740	90716
