NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=2612>	9091	80		67155	117595	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		65676	110764	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		70839	110432	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		69682	109677	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		68272	108964	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		64500	115006	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		68817	117578	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		71218	114529	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		66663	111571	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		64951	112584	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		69654	111385	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		65962	116817	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		49349	101555	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		49231	106593	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		52751	106387	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		52078	101804	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		52153	99855	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		48913	100064	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		48014	105317	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		49505	105044	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		51396	107037	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		53198	100738	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		50664	103192	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		47928	101563	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		76764	131002	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		74047	131045	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		76812	132749	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		75965	125457	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		74539	125481	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		78239	127700	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		76996	127301	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		77771	125790	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		74455	127699	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		75762	129111	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		73063	126047	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		69193	98152	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		70115	98222	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		73449	95403	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		71414	90795	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		73001	91634	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		69812	90287	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		67554	92632	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		69125	96171	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		67856	97100	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		72786	97438	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		71574	92395	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		69238	92476	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		73372	93194	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		78605	87693	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		79905	88900	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		81705	89119	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		81260	86630	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		82494	81255	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		78701	82940	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		81489	83143	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		84306	86314	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		82684	83318	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		80237	83139	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		79673	86557	0	0	191	-1	0	0			1		maplevel180
<i18n=2612>	9091	80		83464	82164	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		98378	94609	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		98282	103046	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		101346	101995	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		101568	98610	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		99061	98875	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		97064	95415	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		95969	100367	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		96245	97736	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		100086	97032	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		99641	95023	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		100070	100675	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		105676	87715	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		111227	84640	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		108153	89312	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		111224	86636	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		110219	83279	0	0	191	-1	0	0			1		maplevel180
<i18n=13345>	9092	80		107853	81479	0	0	191	-1	0	0			1		maplevel180
