nBatch	szType	NpcTemplateId	PosX	PosY	nCamp
1	milu	13000	22098	17362	2
1	milu	13000	19666	14696	2
1	milu	13000	19661	17385	2
1	milu	13000	20781	18218	2
1	milu	13000	19188	16061	2
1	milu	13000	22294	16132	2
1	milu	13000	20607	13638	2
1	milu	13001	20540	15402	2
1	milu	13000	21731	14559	2
1	milu	13000	21122	16760	2
2	heixiong	13003	22098	17362	2
2	heixiong	13003	19666	14696	2
2	heixiong	13003	19661	17385	2
2	heixiong	13003	20781	18218	2
2	heixiong	13003	19188	16061	2
2	heixiong	13003	22294	16132	2
2	heixiong	13003	20607	13638	2
2	heixiong	13004	20540	15402	2
2	heixiong	13003	21731	14559	2
2	heixiong	13003	21122	16760	2
3	liangyichang	13036	20729	16062	2
