nPath	nIndex	PosX	PosY	__design
1	1	23481	21147	逆时针阿基米德入
1	2	18141	20938	逆时针阿基米德入
1	3	15402	15962	逆时针阿基米德入
1	4	17723	10944	逆时针阿基米德入
1	5	23768	10756	逆时针阿基米德入
1	6	25722	15765	逆时针阿基米德入
1	7	23701	19072	逆时针阿基米德入
1	8	18781	18961	逆时针阿基米德入
1	9	17580	15870	逆时针阿基米德入
1	10	18982	12574	逆时针阿基米德入
1	11	22601	12580	逆时针阿基米德入
1	12	23669	15956	逆时针阿基米德入
1	13	20864	15894	逆时针阿基米德入
2	1	20555	16063	逆时针阿基米德出
2	2	17954	16069	逆时针阿基米德出
2	3	18889	13212	逆时针阿基米德出
2	4	22356	13210	逆时针阿基米德出
2	5	23636	16301	逆时针阿基米德出
2	6	22950	18889	逆时针阿基米德出
2	7	17827	18852	逆时针阿基米德出
2	8	15536	16189	逆时针阿基米德出
2	9	17657	10963	逆时针阿基米德出
2	10	23857	10880	逆时针阿基米德出
2	11	26090	15732	逆时针阿基米德出
2	12	23427	21243	逆时针阿基米德出
2	13	17876	21163	逆时针阿基米德出
3	1	18690	21320	左侧巡逻
3	2	16051	16248	左侧巡逻
3	3	18613	10842	左侧巡逻
3	4	15698	16227	左侧巡逻
4	1	22800	21345	右侧巡逻
4	2	25337	15848	右侧巡逻
4	3	22848	10573	右侧巡逻
4	4	25616	15848	右侧巡逻
5	1	17892	21412	Z字杀
5	2	23601	21371	Z字杀
5	3	17770	10929	Z字杀
5	4	24103	10619	Z字杀
6	1	23835	21034	Z字杀
6	2	23835	10750	Z字杀
6	3	17857	21010	Z字杀
6	4	17758	11000	Z字杀
7	1	15989	18360	上侧巡逻
7	2	18071	20987	上侧巡逻
7	3	23134	21100	上侧巡逻
7	4	25429	18311	上侧巡逻
7	5	23412	21145	上侧巡逻
7	6	18337	21100	上侧巡逻
8	1	15700	14846	下侧巡逻
8	2	17658	11084	下侧巡逻
8	3	24080	10929	下侧巡逻
8	4	26105	15113	下侧巡逻
8	5	23746	11018	下侧巡逻
8	6	17915	11040	下侧巡逻
