PosX	PosY
21522	34969
22116	34317
22655	33665
23104	33175
23591	32632
24162	31980
24699	31356
25224	30840
25881	30243
26395	29726
27043	29156
27641	28532
28211	28015
28832	27363
21384	33936
22012	33283
22621	32685
23165	32195
23627	31597
24157	30971
24715	30482
25381	29910
25925	29203
26551	28605
27094	28088
27679	27490
28142	27000
20567	33718
21261	32793
21900	32278
22471	31624
23097	31107
23645	30401
24307	29720
24837	29095
25544	28523
26156	27844
26727	27354
27380	26592
20445	32712
21489	31407
22141	30782
20866	32086
22702	30128
23436	29584
24130	28714
24837	27980
25544	27327
26183	26864
26700	26266
27217	25641
19507	32630
20091	31841
20785	30944
21533	30291
22090	29639
22716	28959
23491	28306
24171	27463
24905	26620
25585	25967
26211	25314
19099	31760
19942	30672
20758	29829
21424	29149
22158	28279
22920	27708
23532	26837
24225	26185
24905	25586
25435	24825
26020	24145
19126	30699
19996	29693
18269	31243
20771	28741
21492	27871
22294	27164
22893	26266
23545	25668
24341	24905
25028	24117
25490	23546
18120	30509
19207	29285
19901	28387
20731	27433
21559	25673
22281	25532
23097	24716
23708	23900
24443	23410
18160	29394
18935	28170
19860	27136
20771	26239
21587	25124
22403	24118
23029	23247
23776	22350
17372	29829
18147	28224
18976	26647
19969	25722
20934	24498
21660	23436
22512	22513
23192	21697
17453	28986
16624	29149
16882	28007
17644	27354
18378	27191
18255	26157
19180	25178
19969	24226
20921	22975
21805	22214
22525	21289
15859	28198
17154	26674
18378	24961
19123	23843
17521	25069
16393	27191
15188	27138
15781	25831
15723	26865
16319	24992
17820	23764
16672	25913
18296	23166
19303	22132
19833	23166
20350	22404
19969	21207
20445	23628
20793	21684
21541	21204
20765	20667
21540	19455
22359	19228
21584	26882
