nTowerLevel	nNpcTemplateId	PosX	PosY	Delay	szParams
55	13036	18597	23733	30	
56	13051	15230	27039	1	
56	13052	22493	27152	1	
56	13053	15067	19920	1	
56	13054	23218	20050	1	
57	13051	15230	27039	1	
57	13052	22493	27152	1	
57	13053	15067	19920	1	
57	13054	23218	20050	1	
58	13051	15230	27039	1	
58	13052	22493	27152	1	
58	13053	15067	19920	1	
58	13054	23218	20050	1	
59	13051	15230	27039	1	
59	13052	22493	27152	1	
59	13053	15067	19920	1	
59	13054	23218	20050	1	
60	13046	18597	23733	30	
60	13051	15230	27039	1	
60	13052	22493	27152	1	
60	13053	15067	19920	1	
60	13054	23218	20050	1	
65	13037	18597	23733	30	
70	13047	18597	23733	30	
75	13048	18597	23733	30	
151	12501	13216	23625	1	5
152	12501	18772	28830	1	6
153	12501	18622	28805	1	1
154	12501	18709	27078	1	2
155	12501	18622	28805	1	1
161	12501	13216	23625	1	5
162	12501	18772	28830	1	6
163	12501	18622	28805	1	1
164	12501	18709	27078	1	2
165	12501	18622	28805	1	1
166	12501	15806	28180	1	3
166	12501	15481	27829	1	4
167	12501	13216	23625	1	5
167	12501	18772	28830	1	6
168	12501	13216	23625	1	5
168	12501	18622	28805	1	1
169	12501	18772	28830	1	6
169	12501	18709	27078	1	2
170	12501	18622	28805	1	1
170	12501	18709	27078	1	2
171	12501	13216	23625	1	5
172	12501	18772	28830	1	6
173	12501	18622	28805	1	1
174	12501	18709	27078	1	2
175	12501	18622	28805	1	1
155	13036	18597	23733	30	
156	13051	15230	27039	1	
156	13052	22493	27152	1	
156	13053	15067	19920	1	
156	13054	23218	20050	1	
157	13051	15230	27039	1	
157	13052	22493	27152	1	
157	13053	15067	19920	1	
157	13054	23218	20050	1	
158	13051	15230	27039	1	
158	13052	22493	27152	1	
158	13053	15067	19920	1	
158	13054	23218	20050	1	
159	13051	15230	27039	1	
159	13052	22493	27152	1	
159	13053	15067	19920	1	
159	13054	23218	20050	1	
160	13046	18597	23733	30	
160	13051	15230	27039	1	
160	13052	22493	27152	1	
160	13053	15067	19920	1	
160	13054	23218	20050	1	
165	13037	18597	23733	30	
170	13047	18597	23733	30	
175	13048	18597	23733	30	
