NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=10945>	7221	60		8964	23232	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		10279	17970	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		9227	21146	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		14394	22272	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		13045	27585	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		13396	24221	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		11964	20232	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		13949	11897	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		16684	15661	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		18192	19032	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		23468	25329	0	0	191	-1	0	0			1
<i18n=10945>	7221	60		21258	28440	0	0	191	-1	0	0			1
<i18n=4331>	7222	60		24597	45157	0	0	191	-1	0	0			1
<i18n=4727>	7236	60		16704	52732	0	0	191	-1	0	0			1
