NpcTemplateId	PosX	PosY	nPhase
13393	20108	22588	1
13393	23504	23067	1
13393	21583	24310	1
13393	21704	22663	1
13393	21360	20514	1
13394	22713	21582	1
13395	30802	31595	1
13393	28379	31313	1
13393	30628	29163	1
13393	42906	33210	2
13393	44864	31123	2
13393	44190	34815	2
13393	46280	33056	2
13394	44657	32888	2
13398	27122	59457	3
13396	25840	81717	4
13396	24748	80498	4
13396	27036	82969	4
13396	26855	77193	4
13396	28135	78827	4
13396	29086	80084	4
13396	26160	78912	4
13399	29228	82224	4
13401	79013	118968	6
13400	60246	99181	5
13396	57225	97712	5
13396	55988	96136	5
13396	57993	93676	5
13396	59660	95245	5
13402	75233	71304	7
