NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	LevelSettingKey
<i18n=13651>	9168	20		36843	140822	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		35578	141341	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		33977	140674	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		33261	138834	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		33180	136052	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		34597	136051	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		36335	133821	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		37964	133924	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		38880	135690	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		38762	138033	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		38260	139886	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		34552	139220	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		35744	137566	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		37560	135783	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		37428	138940	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		39557	125805	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		38220	125745	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		36654	122411	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		37357	120597	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		38404	119160	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		39584	119118	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		40978	119290	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		40629	125531	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		36638	124514	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		41716	124040	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		37999	123867	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		40119	123739	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		38133	121503	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		41712	120404	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		40257	121068	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		52907	137443	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		51150	137068	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		50211	132772	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		51073	131198	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		52162	130147	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		53956	130166	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		55375	130542	0	0	191	-1	0	0			1	maplevel170
<i18n=13651>	9168	20		55713	133062	0	0	191	-1	0	0			1	maplevel170
