NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=15415>	<i18n=15415>	6127	1		26888	44884	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		27763	44897	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28579	44950	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		26881	43555	0	0	191	-1	0	0			
<i18n=21031>	<i18n=21031>	6128	1		27789	43398	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28611	43398	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		26809	41713	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		27776	41727	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28638	41582	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28236	31503	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28892	31442	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		29677	31472	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28259	30054	0	0	191	-1	0	0			
<i18n=21031>	<i18n=21031>	6128	1		28884	29886	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		29692	29932	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28259	28697	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		28945	28544	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		29677	28544	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		32139	72395	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		31484	75064	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		32205	75110	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		30617	73760	0	0	191	-1	0	0			
<i18n=21031>	<i18n=21031>	6128	1		31507	73760	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		30648	72303	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		45962	61573	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		46700	61622	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		53720	60317	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		45978	60211	0	0	191	-1	0	0			
<i18n=21031>	<i18n=21031>	6128	1		46684	60178	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		45945	58504	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		46692	58504	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		61785	50964	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		62808	51005	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		61785	49505	0	0	191	-1	0	0			
<i18n=21031>	<i18n=21031>	6128	1		62774	49314	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		61814	47952	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		62771	47884	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		54335	43536	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		55175	43563	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		56002	43563	0	0	191	-1	0	0			
<i18n=21031>	<i18n=21031>	6128	1		55182	42249	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		56036	42249	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		55189	40839	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		25234	59836	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		25222	58296	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		26202	58180	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		26206	59648	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		30484	54329	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		30456	53157	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		31212	53009	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		31152	54254	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		43710	40244	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		43758	41391	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		44578	41193	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		44519	39999	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		51095	32756	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		51056	34134	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		51892	34130	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		51972	32699	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		21767	62907	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		21766	61359	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		23222	61347	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		23232	62962	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		48362	35479	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		48368	36920	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		49316	36716	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		49328	35284	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		54220	59817	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		54720	59317	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		53972	58919	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		39165	61260	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		39665	60760	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		40165	60260	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		39286	59896	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		38384	73801	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		38884	73301	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		39384	72801	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		38660	72109	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		24100	73923	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		24600	73423	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		25100	72923	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6127	1		24292	72560	0	0	191	-1	0	0
