Path	nX	nY	nFrame
shenmilaoren_shaolin_1	40790	65460	15
shenmilaoren_shaolin_1	30698	55202	15
shenmilaoren_shaolin_1	28270	54907	15
shenmilaoren_shaolin_1	24954	55966	15
shenmilaoren_shaolin_1	20945	60701	15
shenmilaoren_shaolin_1	18186	68552	15
shenmilaoren_shaolin_1	19655	71270	15
shenmilaoren_shaolin_1	26203	72795	15
shenmilaoren_shaolin_1	28993	81417	15
shenmilaoren_shaolin_1	32003	81203	15
shenmilaoren_shaolin_1	30417	84898	15
shenmilaoren_shaolin_1	28412	83422	15
shenmilaoren_shaolin_1	22784	87313	15
shenmilaoren_shaolin_1	16243	86145	15
shenmilaoren_shaolin_1	13839	73447	15
shenmilaoren_shaolin_1	17967	67462	15
shenmilaoren_shaolin_1	20702	60492	15
shenmilaoren_shaolin_1	24871	55771	15
shenmilaoren_shaolin_1	26561	50149	15
shenmilaoren_shaolin_1	36429	39579	15
shenmilaoren_shaolin_1	50901	54933	15
shenmilaoren_shaolin_1	50724	58506	15
shenmilaoren_shaolin_1	53680	66050	15
shenmilaoren_shaolin_1	47879	72227	15
shenmilaoren_shaolin_1	44481	64639	15
