nPathId	nIndex	PosX	PosY		λ�õ�	��Ӧ������									
1	1	33848	99109	2	1A	1	2	2	2	2	2	2	2	2	2
2	1	25012	90001	5	1B	4	5	5	5	5	5	5	5	5	5
2	2	33848	99109		1A										
3	1	25528	77332	10	1C	9	10	10	10	10	10	10	10	10	10
3	2	25012	90001		1B										
3	3	33848	99109		1A										
4	1	55352	78727	14	2A	13	14	14	14	14	14	14	14	14	14
5	1	55406	62397		2B	16									
5	2	54848	78726		2A										
6	1	47010	56433	18	2C	17	18	18	18	18	18	18	18	18	18
6	2	55406	62397		2B										
6	3	54844	78986		2A										
7	1	42478	83212		2D	19									
7	2	55097	78994		2A										
8	1	36206	74726		2E	20									
8	2	42318	82936		2D										
8	3	55354	78993		2A										
9	1	32870	56339	22	2G	21	22	22	22	22	22	22	22	22	22
9	2	37546	63176		2F										
9	3	36366	74465		2E										
9	4	42223	83225		2D										
9	5	55104	78737		2A										
10	1	75025	63105	26	3A	25	26	26	26	26	26	26	26	26	26
11	1	67831	55085	31	3B	30	31	31	31	31	31	31	31	31	31
11	2	75025	63105		3A										
12	1	65234	45024	33	3C	32	33	33	33	33	33	33	33	33	33
12	2	67831	55085		3B										
12	3	75025	63105		3A										
