nGroup	nIndex	PosX	PosY	nPathId
1	1	27787	102718	1
1	2	28318	102243	1
1	3	28767	101764	1
1	4	27837	101535	1
2	1	32119	98157	1
2	2	32444	97692	1
2	3	32828	97196	1
2	4	32065	97260	1
3	1	35782	92417	1
3	2	36220	91447	1
3	3	36395	90291	1
3	4	35323	90942	1
4	1	21551	92078	2
4	2	21837	91277	2
4	3	21950	90306	2
4	4	21273	91041	2
5	1	24193	87693	2
5	2	24750	87805	2
5	3	25280	87330	2
5	4	24722	87085	2
6	1	27381	81105	2
6	2	27861	81318	2
6	3	28372	81117	2
6	4	27920	80515	2
7	1	16272	87755	2
7	2	16666	87012	2
7	3	16875	86312	2
7	4	16305	86401	2
8	1	24127	82172	2
8	2	24479	81265	2
8	3	24841	80614	2
8	4	23963	81078	2
9	1	24565	75482	3
9	2	25190	75566	3
9	3	25777	74930	3
9	4	24982	74695	3
10	1	18531	73845	3
10	2	19166	73330	3
10	3	19449	72421	3
10	4	18597	72660	3
11	1	26018	65908	3
11	2	26671	66312	3
11	3	27354	66225	3
11	4	26818	65226	3
12	1	22113	66874	3
12	2	22757	66287	3
12	3	23140	65469	3
12	4	22215	65206	3
13	1	45548	82840	4
13	2	46400	82345	4
13	3	46852	81635	4
13	4	45921	81442	4
14	1	50809	77512	4
14	2	51398	76975	4
14	3	51882	76164	4
14	4	50892	76193	4
15	1	54279	73252	4
15	2	54886	72562	4
15	3	55340	71823	4
15	4	54443	71887	4
16	1	54825	61636	5
16	2	55263	61107	5
16	3	55673	60521	5
16	4	54634	60418	5
17	1	45652	55554	6
17	2	46461	54690	6
17	3	47095	53776	6
17	4	45753	53770	6
18	1	40830	46407	6
18	2	41618	45703	6
18	3	42206	44970	6
18	4	41116	44975	6
19	1	35341	74793	7
19	2	35999	74090	7
19	3	36526	73146	7
19	4	35472	72934	7
20	1	37736	65660	8
20	2	38462	64985	8
20	3	38795	64219	8
20	4	37848	64549	8
21	1	33861	58545	9
21	2	34272	58216	9
21	3	34600	57780	9
21	4	34008	57466	9
22	1	26953	55076	9
22	2	27431	54593	9
22	3	27773	53952	9
22	4	26998	53948	9
23	1	24121	48770	9
23	2	24583	48368	9
23	3	25090	47684	9
23	4	24329	47642	9
24	1	27833	49031	9
24	2	28481	49170	9
24	3	29109	49049	9
24	4	28472	48146	9
25	1	65684	66599	10
25	2	66080	65573	10
25	3	66271	64302	10
25	4	65479	65465	10
26	1	70517	59974	10
26	2	70986	59412	10
26	3	71239	58525	10
26	4	70630	58907	10
27	1	75820	53349	10
27	2	76358	53908	10
27	3	76921	53436	10
27	4	76397	52807	10
28	1	74454	47253	10
28	2	75176	47146	10
28	3	75494	46394	10
28	4	74921	46090	10
29	1	72626	42119	10
29	2	73185	41505	10
29	3	73535	40693	10
29	4	72607	40887	10
30	1	65218	48142	11
30	2	66006	48343	11
30	3	66681	47764	11
30	4	65777	47020	11
31	1	67834	43182	11
31	2	68363	43679	11
31	3	69203	42985	11
31	4	68466	42506	11
32	1	61515	42062	12
32	2	62172	41390	12
32	3	62829	40650	12
32	4	61724	40335	12
33	1	56830	42750	12
33	2	57493	42162	12
33	3	58047	41261	12
33	4	57011	41017	12
34	1	49705	39937	12
34	2	50277	40163	12
34	3	50894	39591	12
34	4	50181	38876	12
35	1	54697	36134	12
35	2	55488	35634	12
35	4	54913	34898	12
35	3	55938	34671	12
36	1	59807	33336	12
36	2	60567	33658	12
36	3	61281	33155	12
36	4	60671	32569	12
37	1	58643	81138	
37	2	57978	81078	
37	4	57124	80968	
37	3	58734	80300	
37	5	57641	80317	
37	7	58813	79243	
37	6	58254	79766	
37	8	56212	80957	
37	9	56853	80284	
37	10	57370	79633	
37	11	57983	79082	
37	12	58561	78515	
37	13	59101	77874	
37	14	55872	80216	
37	15	56513	79543	
37	16	57030	78892	
37	17	57643	78341	
37	18	58221	77774	
37	19	58761	77133	
1C		25528	77332	
1B		25012	90001	
1A		33848	99109	
2C		47010	56433	
2B		54763	78550	
2A		54763	78550	
2D		42202	83254	
2E		36485	74492	
2G		32870	56339	
2F		37546	63176	
3C		65234	45024	
3B		67831	55085	
3A		75025	63105	
