nPath	nIndex	PosX	PosY
1	1	76966	86790
1	2	75092	83503
1	3	72420	80893
1	4	69078	77595
1	5	67539	74208
1	6	66428	70719
1	7	64399	68419
1	8	62797	66842
1	9	60858	64852
1	10	59398	63302
1	11	58028	62113
2	1	76966	86790
2	2	74386	88679
2	3	72612	91250
2	4	71965	94628
2	5	73440	97666
2	6	76491	100354
2	7	78097	103693
2	8	80378	106421
2	9	82290	108639
2	10	83845	110525
2	11	85458	112214
3	1	76966	86790
3	2	79513	83796
3	3	82249	81828
3	4	84853	82814
3	5	87392	84928
3	6	89652	86679
3	7	91477	90119
3	8	93845	92566
3	9	96286	95417
3	10	98391	97864
4	1	85458	112214
4	2	77121	119662
5	1	85458	112214
5	2	87323	112806
5	3	92229	108067
5	4	87379	101489
6	1	98391	97864
6	2	98043	102687
6	3	92229	108067
6	4	87379	101489
7	1	98391	97864
7	2	103697	90537
