Name	VarName	PosX	PosY
宋方士兵	Camp1_Title1	22260	55268
宋方士兵	Camp1_Title1	21224	53909
宋方士兵	Camp1_Title1	23648	53393
宋方士兵	Camp1_Title1	22253	51373
宋方校尉	Camp1_Title2	23064	54187
宋方校尉	Camp1_Title2	21580	52380
宋方统领	Camp1_Title3	22400	53055
宋方士兵	Camp1_Title1	36824	65392
宋方士兵	Camp1_Title1	35970	67434
宋方士兵	Camp1_Title1	37408	67749
宋方士兵	Camp1_Title1	36755	67757
宋方校尉	Camp1_Title2	36068	66053
宋方校尉	Camp1_Title2	37682	66556
宋方统领	Camp1_Title3	36767	66472
宋方士兵	Camp1_Title1	39830	31544
宋方士兵	Camp1_Title1	41014	29107
宋方士兵	Camp1_Title1	40951	33080
宋方士兵	Camp1_Title1	42356	30245
宋方校尉	Camp1_Title2	40154	29864
宋方校尉	Camp1_Title2	41726	31799
宋方统领	Camp1_Title3	41082	30689
宋方士兵	Camp1_Title1	54182	43407
宋方士兵	Camp1_Title1	55452	41242
宋方士兵	Camp1_Title1	52662	41661
宋方士兵	Camp1_Title1	53844	39514
宋方校尉	Camp1_Title2	54720	42579
宋方校尉	Camp1_Title2	53023	40176
宋方统领	Camp1_Title3	53961	41424
宋方士兵	Camp1_Title1	44449	53439
宋方士兵	Camp1_Title1	45683	51330
宋方士兵	Camp1_Title1	43075	51927
宋方士兵	Camp1_Title1	44164	49470
宋方校尉	Camp1_Title2	45209	52850
宋方校尉	Camp1_Title2	43439	50452
宋方统领	Camp1_Title3	44410	51542
宋方大将	Camp1_Title4	40073	47555
金方士兵	Camp2_Title1	52723	83809
金方士兵	Camp2_Title1	52058	82579
金方士兵	Camp2_Title1	52279	80205
金方士兵	Camp2_Title1	51078	80698
金方校尉	Camp2_Title2	51186	83836
金方校尉	Camp2_Title2	51590	79166
金方统领	Camp2_Title3	51149	82180
金方士兵	Camp2_Title1	66256	97052
金方士兵	Camp2_Title1	65971	99930
金方士兵	Camp2_Title1	64426	99806
金方士兵	Camp2_Title1	64507	96968
金方校尉	Camp2_Title2	66139	98742
金方校尉	Camp2_Title2	64366	98278
金方统领	Camp2_Title3	65405	98477
金方士兵	Camp2_Title1	65345	74830
金方士兵	Camp2_Title1	66772	73291
金方士兵	Camp2_Title1	63876	72976
金方士兵	Camp2_Title1	65173	70893
金方校尉	Camp2_Title2	66258	74204
金方校尉	Camp2_Title2	64561	72035
金方统领	Camp2_Title3	65460	72780
金方士兵	Camp2_Title1	72050	56352
金方士兵	Camp2_Title1	70376	59546
金方士兵	Camp2_Title1	71464	61343
金方士兵	Camp2_Title1	73230	58416
金方校尉	Camp2_Title2	70850	57461
金方校尉	Camp2_Title2	72504	60070
金方统领	Camp2_Title3	71706	58692
金方士兵	Camp2_Title1	83612	73183
金方士兵	Camp2_Title1	84203	73743
金方士兵	Camp2_Title1	86391	73076
金方士兵	Camp2_Title1	84576	75278
金方校尉	Camp2_Title2	84236	71443
金方校尉	Camp2_Title2	85461	74042
金方统领	Camp2_Title3	85288	72353
金方大将	Camp2_Title4	70222	78339
