Name	VarName	PosX	PosY
宋方士兵	Camp1_Title1	15713	41246
宋方士兵	Camp1_Title1	15843	40237
宋方士兵	Camp1_Title1	15721	42234
宋方士兵	Camp1_Title1	15254	40075
宋方校尉	Camp1_Title2	15158	41057
宋方校尉	Camp1_Title2	15820	39143
宋方统领	Camp1_Title3	15360	38855
宋方士兵	Camp1_Title1	29007	63362
宋方士兵	Camp1_Title1	27374	62040
宋方士兵	Camp1_Title1	28125	63179
宋方士兵	Camp1_Title1	28784	61941
宋方校尉	Camp1_Title2	29992	63377
宋方校尉	Camp1_Title2	29308	62709
宋方统领	Camp1_Title3	27494	62970
宋方士兵	Camp1_Title1	36136	30843
宋方士兵	Camp1_Title1	37504	31298
宋方士兵	Camp1_Title1	37075	30773
宋方士兵	Camp1_Title1	36669	31268
宋方校尉	Camp1_Title2	36010	31648
宋方校尉	Camp1_Title2	36459	30198
宋方统领	Camp1_Title3	35510	30514
宋方大将	Camp1_Title4	14979	42102
金方士兵	Camp2_Title1	47743	77694
金方士兵	Camp2_Title1	46623	76780
金方士兵	Camp2_Title1	46961	78341
金方士兵	Camp2_Title1	46192	79864
金方校尉	Camp2_Title2	47388	79345
金方校尉	Camp2_Title2	46141	78834
金方统领	Camp2_Title3	46155	77749
金方士兵	Camp2_Title1	53142	44844
金方士兵	Camp2_Title1	65241	63585
金方士兵	Camp2_Title1	53442	44123
金方校尉	Camp2_Title2	65087	64597
金方校尉	Camp2_Title2	52670	45426
金方大将	Camp2_Title4	65517	64206
宋方元帅	Camp1_Title5	35749	28968
金方元帅	Camp2_Title5	45640	79298
金方校尉	Camp2_Title2	65211	65742
金方校尉	Camp2_Title2	53549	45304
金方统领	Camp2_Title3	65387	65271
金方统领	Camp2_Title3	51898	65143
金方士兵	Camp2_Title1	52726	44331
金方士兵	Camp2_Title1	53103	45376
金方士兵	Camp2_Title1	64801	65265
金方士兵	Camp2_Title1	65725	65721
金方士兵	Camp2_Title1	64653	64481
宋方士兵	Camp1_Title1	30437	41711
宋方校尉	Camp1_Title2	29582	40911
宋方校尉	Camp1_Title2	28134	41199
宋方统领	Camp1_Title3	28775	40238
宋方士兵	Camp1_Title1	28868	41516
宋方士兵	Camp1_Title1	29557	42174
宋方士兵	Camp1_Title1	30339	42572
金方统领	Camp2_Title3	52664	44922
金方校尉	Camp2_Title2	51855	65913
金方士兵	Camp2_Title1	51003	64764
金方校尉	Camp2_Title2	52502	65555
金方士兵	Camp2_Title1	51180	66265
金方士兵	Camp2_Title1	51449	64681
金方士兵	Camp2_Title1	51065	65542
