Type	PosX	PosY
PILLAR_1	79633	72726
SOLDIER	81234	72962
SOLDIER	80680	70609
SOLDIER	78989	71217
SOLDIER	77689	73297
SOLDIER	78984	74886
SOLDIER	80565	75158
OFFICER	80153	71946
OFFICER	78626	72868
OFFICER	79771	73966
PILLAR_2	41711	70666
SOLDIER	43601	71097
SOLDIER	42926	68847
SOLDIER	41155	68579
SOLDIER	39566	70689
SOLDIER	40526	72729
SOLDIER	42563	73338
OFFICER	41771	72076
OFFICER	40811	69987
OFFICER	42568	70096
PILLAR_3	73107	111150
SOLDIER	74755	111544
SOLDIER	74275	109336
SOLDIER	72583	109444
SOLDIER	71249	111146
SOLDIER	72173	112889
SOLDIER	73618	113569
OFFICER	73749	110568
OFFICER	72201	110808
OFFICER	73051	112228
	23441	98153
FRONT_2	89415	90238
FRONT_1	57817	70736
