Type	PosX	PosY
PILLAR_1	72134	64424
SOLDIER	73795	64555
SOLDIER	73399	62509
SOLDIER	71895	62477
SOLDIER	70044	63671
SOLDIER	71076	66122
SOLDIER	72588	66878
OFFICER	72869	63572
OFFICER	71268	63766
OFFICER	72083	65631
PILLAR_2	31626	77514
SOLDIER	33110	77974
SOLDIER	32786	75850
SOLDIER	31000	75883
SOLDIER	29443	77455
SOLDIER	30612	79779
SOLDIER	32208	80577
OFFICER	32256	76814
OFFICER	30673	77155
OFFICER	31576	78770
PILLAR_3	54372	82854
SOLDIER	56064	83143
SOLDIER	55650	80880
SOLDIER	53864	81089
SOLDIER	52162	83135
SOLDIER	53086	84983
SOLDIER	54955	85655
OFFICER	55054	82073
OFFICER	53346	82602
OFFICER	54348	84196
FRONT_1	45776	70299
FRONT_2	59722	53694
