NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	LevelSettingKey
<i18n=1869>	9144	30		72460	138129	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		75759	135037	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		76127	132749	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		75678	131003	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		74127	130440	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		72778	130338	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		74743	135949	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		72399	135745	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		71028	135276	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		75207	137022	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		74648	132214	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		71264	131714	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		86597	143212	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		85812	141885	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		84641	141152	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		82912	141273	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		81855	141915	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		84921	148153	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		83266	145779	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		86119	147490	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		86588	146093	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		85136	143013	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		83138	142740	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		83622	148252	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		90093	99391	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		91243	99645	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		92796	99286	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		92953	96216	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		94068	96127	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		93970	93982	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		91682	92278	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		90288	92821	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		91596	94165	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		89759	97346	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		92644	97476	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		92732	94732	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		91409	95927	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		89177	93452	0	0	191	-1	0	0			1	maplevel130
<i18n=1869>	9144	30		90126	94448	0	0	191	-1	0	0			1	maplevel130
