Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	ZPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId	NpcPath	bPathRecycle	IsMapMonster	nShareType
	<i18n=10508>		3040			100	44395	124332	0	191	-1	0	0		-1	0	0	0	0	0	0	0					1
	<i18n=532>		3041			100	69726	108167	0	191	-1	0	0		-1	0	0	0	0	0	0	0					1
	<i18n=2019>		3042			100	131004	63779	0	191	-1	0	0		-1	0	0	0	0	0	0	0					1
	<i18n=1979>		3043			100	91409	125775	0	191					-1						0					0	1
	<i18n=10508>		3040			100	42581	124333	0	191					-1						0					0	1
	<i18n=10508>		3040			100	41347	122166	0	191					-1						0					0	1
	<i18n=10508>		3040			100	41038	119956	0	191					-1						0					0	1
	<i18n=10508>		3040			100	41108	117345	0	191					-1						0					0	1
	<i18n=10508>		3040			100	42806	115660	0	191					-1						0					0	1
	<i18n=10508>		3040			100	44641	115244	0	191					-1						0					0	1
	<i18n=10508>		3040			100	45947	115649	0	191					-1						0					0	1
	<i18n=10508>		3040			100	47252	117097	0	191					-1						0					0	1
	<i18n=10508>		3040			100	47786	118914	0	191					-1						0					0	1
	<i18n=10508>		3040			100	46990	123241	0	191					-1						0					0	1
	<i18n=10508>		3040			100	42547	121959	0	191					-1						0					0	1
	<i18n=10508>		3040			100	45910	122043	0	191					-1						0					0	1
	<i18n=10508>		3040			100	42865	118099	0	191					-1						0					0	1
	<i18n=10508>		3040			100	45727	117813	0	191					-1						0					0	1
	<i18n=10508>		3040			100	54317	118581	0	191					-1						0					0	1
	<i18n=10508>		3040			100	53025	118515	0	191					-1						0					0	1
	<i18n=10508>		3040			100	51733	117411	0	191					-1						0					0	1
	<i18n=10508>		3040			100	51378	113546	0	191					-1						0					0	1
	<i18n=10508>		3040			100	53014	111012	0	191					-1						0					0	1
	<i18n=10508>		3040			100	54434	110851	0	191					-1						0					0	1
	<i18n=10508>		3040			100	54289	112581	0	191					-1						0					0	1
	<i18n=10508>		3040			100	55506	111335	0	191					-1						0					0	1
	<i18n=10508>		3040			100	56244	112043	0	191					-1						0					0	1
	<i18n=10508>		3040			100	56571	113717	0	191					-1						0					0	1
	<i18n=10508>		3040			100	52732	116056	0	191					-1						0					0	1
	<i18n=10508>		3040			100	55012	115905	0	191					-1						0					0	1
	<i18n=10508>		3040			100	52189	111706	0	191					-1						0					0	1
	<i18n=10508>		3040			100	55164	112970	0	191					-1						0					0	1
	<i18n=10508>		3040			100	53034	112747	0	191					-1						0					0	1
	<i18n=10508>		3040			100	33621	86649	0	191					-1						0					0	1
	<i18n=10508>		3040			100	32454	85725	0	191					-1						0					0	1
	<i18n=10508>		3040			100	31629	84056	0	191					-1						0					0	1
	<i18n=10508>		3040			100	31713	81574	0	191					-1						0					0	1
	<i18n=10508>		3040			100	32136	80033	0	191					-1						0					0	1
	<i18n=10508>		3040			100	34847	78362	0	191					-1						0					0	1
