FromMapID	Name	ToMapID	ToPosX	ToPosY	ToFightState
1	to_guzhanchang	14	33585	21463	1
1	to_chilechuan	39	90809	44105	1
1	to_tianrenjiao	11	15457	33358	0
39	to_yunzhongzhen	1	32644	66157	0
14	to_yunzhongzhen	1	51423	44034	0
14	to_yingxiongzong	44	14175	15585	0
10	to_qingluodao	48	32913	33915	1
11	to_yunzhongzhen	1	53479	18170	0
40	to_chuancang2ceng	41	14824	11630	0
41	to_chuancang3ceng	42	9337	10585	0
44	to_guzhanchang	14	79586	128955	1
48	to_tianwangbang	10	37209	13080	0
49	to_yipingtang	55	53760	123739	0
55	to_dasanguan	49	52395	121716	1
95	to_shamomigong	32	111794	23103	1
95	to_dasanguan	49	13838	58155	1
95	to_kunlunpai	101	50384	25743	0
32	to_fengxiangfu	95	105606	106470	0
49	to_fengxiangfu	95	92559	35135	0
101	to_fengxiangfu	95	31761	99452	0
17	to_yandanglongqiu	90	78831	133134	1
17	to_caishiji	51	108091	40472	1
90	to_linancheng	17	89172	28087	0
51	to_linancheng	17	20517	30630	0
66	to_wudang	16	48038	23090	0
66	to_fenglingdu	34	56251	64730	1
66	to_shaolin	9	9180	16359	0
66	to_hanshuigudu	7	66469	49636	1
16	to_xiangyangcheng	66	43302	51873	0
34	to_xiangyangcheng	66	41073	123895	0
9	to_xiangyangcheng	66	110364	125273	0
7	to_xiangyangcheng	66	111707	48500	0
