TemplateId	UIKey	MapType	MapLevel	EnterLevel	ShowTimeFrame	OpenTimeFrame	bDynamicLevel	LevelSettingKey
1	yunzhongzhen	1	1	1				
6	Wild/taohuayuan	2	100	20	OpenLevel89	OpenLevel89		
7	Wild/hanshuigudu	2	50	20	OpenLevel39	OpenLevel39		maplevel150
9	Faction/shaolin	1	1	1				
10	Faction/tianwang	1	1	1				
11	Faction/tianren	1	1	1				
14	Wild/guzhanchang	2	10	1				maplevel160
16	Faction/wudang	1	1	1				
17	City/linan	1	1	1				
25	Wild/talin	2	30	20				maplevel130
26	Wild/hupanzhulin	2	40	20				maplevel140
27	Wild/luweidang	2	30	20				
28	Wild/jiulaodong	2	30	20				maplevel130
29	Wild/jinguohuangling	2	40	20				
30	Wild/jiangedao	2	70	20	OpenLevel59	OpenLevel59		maplevel170
31	Wild/meihualing	2	10	1				
32	Wild/shamomigong	2	60	20	OpenLevel49	OpenLevel49		
33	Wild/duanshihuangling	2	60	20	OpenLevel49	OpenLevel49		maplevel160
34	Wild/fenglingdu	2	70	20	OpenLevel59	OpenLevel59		
35	Wild/huashan	2	90	20	OpenLevel79	OpenLevel79		maplevel190
36	Wild/jiayuguan	2	80	20	OpenLevel69	OpenLevel69		
37	Wild/wuyishan	2	100	20	OpenLevel89	OpenLevel89		
38	Wild/miaoling	2	80	20	OpenLevel69	OpenLevel69		maplevel180
39	Wild/chilechuan	2	90	20	OpenLevel79	OpenLevel79		
48	Wild/qingluodao	2	20	1				maplevel190
49	Wild/dasanguan	2	50	20	OpenLevel39	OpenLevel39		maplevel150
51	Wild/caishiji	2	50	20	OpenLevel39	OpenLevel39		
61	Wild/taihanggujing	2	40	20				maplevel140
66	City/xiangyang	1	1	1				
88	Wild/baihuagu	2	20	1				maplevel180
89	Wild/qilianshan	2	20	1				maplevel170
90	Wild/yandanglongqiu	2	10	1				
94	Faction/wudu	1	1	1				
95	City/fengxiang	1	1	1				
96	Faction/tangmen	1	1	1				
97	Faction/daliduanshi	1	1	1				
98	Faction/mingjiao	1	1	1				
99	Faction/cuiyan	1	1	1				
100	Faction/gaibang	1	1	1				
101	Faction/kunlun	1	1	1				
287	Faction/emei	1	1	1				
306	Fight/wucihaiyu	2	110	20	OpenLevel99	OpenLevel99		
307	Fight/yanzhou	2	120	20	OpenLevel109	OpenLevel109		
308	Fight/helanshan	2	110	20	OpenLevel99	OpenLevel99		
309	Fight/keyimen	2	120	20	OpenLevel109	OpenLevel109		
314	Faction/gumu	1	1	1				
323	Fight/kongquehe	2	110	110	OpenLevel119	OpenLevel119	1	
327	Faction/badao	1	1	1				
338	Faction/xiaoyao	1	1	1				
351	Faction/baituoshan	1	1	1				
359	Faction/taohua	1	1	1				
382	Faction/changge	1	1	1				
393	Faction/YIPinTang	1	1	1				
401	Faction/wuhuntang	1	1	1				
