NpcTemplateId	PosX	PosY
12410	77574	96947
12417	79123	86298
13055	57480	109569
13055	53203	80941
13056	82079	98785
13056	84305	96805
13056	90060	76889
13056	83046	83922
13056	79861	81259
13056	66506	81342
13056	69105	78831
13056	68370	97855
13056	88149	109542
13056	100085	118051
13056	50800	117167
13057	68959	88426
13057	75772	81030
13057	93654	97234
13057	67624	47294
13057	50111	97554
12422	45080	53988
12422	45917	53166
12422	49600	64379
12422	51627	66392
12422	53519	68432
12422	55886	70788
12422	59488	74554
12422	61159	76182
12422	96649	114990
12422	93192	111640
12422	87723	106293
12422	23445	89034
12422	25477	85714
12422	29238	82216
12422	32157	79246
12422	35433	75885
12422	40738	70731
12422	44725	66775
12422	33128	100839
12422	36573	102732
12422	39209	106378
12422	42945	110477
13056	75623	98750
13056	83480	91131
