Index	PosX	PosY	nAwardKey
1	49375	99004	5
2	50866	96762	5
3	52183	94930	5
4	54815	92079	5
5	56098	89682	5
6	54606	87349	5
7	53008	84753	5
8	51349	82291	5
9	52570	78723	5
10	54638	76304	5
11	56120	74058	5
12	58158	72151	5
13	60675	72617	7
14	63059	75098	7
15	65151	76844	7
16	66957	79076	7
17	68634	81638	7
18	71245	82918	7
19	73809	80980	7
20	76351	80129	7
21	78479	81620	7
22	80186	83152	7
23	81887	85086	7
24	83530	87021	7
25	82846	90430	8
26	80609	92598	8
27	81192	95531	8
28	83096	97140	8
29	84402	99749	8
30	85841	101927	8
31	87895	104196	8
32	89923	105709	8
33	91598	107561	8
34	93502	109352	8
35	95473	111542	8
36	97067	114397	8
37	98318	117148	8
38	99389	119895	8
