Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	2	3418	29840	39222	-1	0	1
2	0	3334	34623	40955	-1	1	2
2	0	3332	35543	39807	-1	1	2
2	0	3334	34556	39725	-1	1	2
2	0	3334	35274	40820	-1	1	2
2	0	3334	36327	40668	-1	1	2
2	0	3334	34620	38707	-1	1	2
2	0	3334	36250	38689	-1	1	2
2	0	3334	35550	38621	-1	1	2
2	0	3334	35834	40728	-1	1	2
2	0	3334	36263	39820	-1	1	2
2	0	3334	35925	48562	-1	1	3
2	0	3334	36576	48427	-1	1	3
2	0	3334	37136	48335	-1	1	3
2	0	3334	37669	48504	-1	1	3
2	0	3334	37565	47427	-1	1	3
2	0	3332	36845	47414	-1	1	3
2	0	3334	35858	47332	-1	1	3
2	0	3334	35922	46314	-1	1	3
2	0	3334	36852	46228	-1	1	3
2	0	3334	37552	46296	-1	1	3
2	0	3334	29677	51911	-1	1	4
2	0	3334	30619	49199	-1	1	4
2	0	3334	30618	52005	-1	1	4
2	0	3334	29818	49510	-1	1	4
2	0	3334	30879	51314	-1	1	4
2	0	3333	30159	51301	-1	1	4
2	0	3334	29172	51219	-1	1	4
2	0	3334	29236	50201	-1	1	4
2	0	3334	30166	50115	-1	1	4
2	0	3334	30866	50183	-1	1	4
2	0	3334	24293	57096	-1	1	5
2	0	3334	23582	57060	-1	1	5
2	0	3334	23022	57128	-1	1	5
2	0	3334	22383	57214	-1	1	5
2	0	3334	22316	55984	-1	1	5
2	0	3333	23334	56066	-1	1	5
2	0	3334	24023	56079	-1	1	5
2	0	3334	24010	54948	-1	1	5
2	0	3334	23310	54880	-1	1	5
2	0	3334	22380	54966	-1	1	5
