NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=1263>	110	1		20721	27447	0	0	191	-1	0	0			
<i18n=1263>	110	1		22255	25650	0	0	191	-1	0	0			
<i18n=1263>	110	1		23824	23790	0	0	191	-1	0	0			
<i18n=1263>	110	1		26964	26892	0	0	191	-1	0	0			
<i18n=1263>	110	1		25407	28932	0	0	191	-1	0	0			
<i18n=1263>	110	1		24013	30971	0	0	191	-1	0	0			
<i18n=1263>	110	1		27468	34853	0	0	191	-1	0	0			
<i18n=1263>	110	1		29191	32853	0	0	191	-1	0	0			
<i18n=1263>	110	1		29218	48036	0	0	191	-1	0	0			
<i18n=1263>	110	1		32575	51629	0	0	191	-1	0	0			
<i18n=1263>	110	1		16389	42786	0	0	191	-1	0	0			
<i18n=1263>	110	1		17073	41673	0	0	191	-1	0	0			
<i18n=1263>	110	1		18013	40542	0	0	191	-1	0	0			
<i18n=1263>	110	1		18833	39689	0	0	191	-1	0	0			
<i18n=1263>	110	1		19510	38659	0	0	191	-1	0	0			
<i18n=1263>	110	1		20483	39513	0	0	191	-1	0	0			
<i18n=1263>	110	1		21253	40367	0	0	191	-1	0	0			
<i18n=1263>	110	1		21931	41227	0	0	191	-1	0	0			
<i18n=1263>	110	1		22679	42188	0	0	191	-1	0	0			
<i18n=1263>	110	1		22074	43194	0	0	191	-1	0	0			
<i18n=1263>	110	1		21378	44343	0	0	191	-1	0	0			
<i18n=1263>	110	1		20752	45643	0	0	191	-1	0	0			
<i18n=1263>	110	1		20114	46338	0	0	191	-1	0	0			
<i18n=1263>	110	1		19147	45592	0	0	191	-1	0	0			
<i18n=1263>	110	1		18318	44885	0	0	191	-1	0	0			
<i18n=1263>	110	1		17466	43992	0	0	191	-1	0	0			
<i18n=1263>	110	1		17975	42612	0	0	191	-1	0	0			
<i18n=1263>	110	1		18827	41555	0	0	191	-1	0	0			
<i18n=1263>	110	1		19649	40520	0	0	191	-1	0	0			
