NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=6881>	1001	10		46670	116973	0	0	191	-1	0	0			1		
<i18n=11027>	1000	10		70358	78958	0	0	191	-1	0	0			1		
<i18n=8596>	1003	10		14345	61426	0	0	191	-1	0	0			1		
<i18n=4811>	1002	10		68670	22304	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		45408	116193	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		44508	113737	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		44478	111754	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		45719	109569	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		47160	109517	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		48493	109601	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		49640	110678	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		50777	111897	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		50753	114238	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		46661	114998	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		48789	114726	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		46610	111349	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		48693	110865	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		49911	116118	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		56407	104613	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		54971	105109	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		53231	104368	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		52554	101981	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		53645	96875	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		55208	96486	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		57954	98246	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		56691	96915	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		57882	101440	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		57621	103901	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		54056	102486	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		56435	102015	0	0	191	-1	0	0			1		
<i18n=6881>	1001	10		54383	98380	0	0	191	-1	0	0			1		
