nPath	nIndex	PosX	PosY
1	1	21561	23311
1	2	30373	30692
1	3	29084	35861
2	1	23769	20259
2	2	21553	23279
2	3	30353	30707
2	4	29104	35884
3	1	15208	19910
3	2	18629	21523
3	3	21569	23287
3	4	30354	30710
3	5	29093	35888
4	1	16405	28394
4	2	23844	36924
4	3	29071	35921
5	1	13626	30562
5	2	16394	28396
5	3	23847	36905
5	4	29030	35903
6	1	13248	22095
6	2	14686	25642
6	3	16375	28411
6	4	23845	36946
6	5	29038	35926
7	1	22012	33996
7	2	13305	26655
7	3	14524	21560
8	1	19735	36812
8	2	21978	34017
8	3	13293	26641
8	4	14525	21540
9	1	28372	37231
9	2	24836	35748
9	3	21991	33967
9	4	13291	26638
9	5	14552	21536
10	1	27054	29000
10	2	19727	20106
10	3	14536	21535
11	1	30151	26506
11	2	27031	29000
11	3	19725	20111
11	4	14521	21554
12	1	30472	35070
12	2	28814	31514
12	3	27046	28982
12	4	19725	20107
12	5	14532	21561
