NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName
<i18n=3914>	7067	1		22681	24902	0	0	191	-1	0	0			1	
<i18n=1549>	7084	1		26629	28268	0	0	191	-1	0	0			1	
<i18n=1862>	7136	1		18712	22786	0	0	191	-1	0	0			1	
<i18n=1862>	7136	1		16488	21260	0	0	191	-1	0	0			1	
<i18n=1862>	7136	1		14397	18957	0	0	191	-1	0	0			1	
<i18n=1862>	7136	1		19103	17679	0	0	160	-1	0	0			1	
<i18n=1862>	7136	1		17051	15297	0	0	160	-1	0	0			1	
<i18n=1862>	7136	1		21162	20264	0	0	160	-1	0	0			1	
<i18n=1199>	7070	1		14450	24995	0	0	191	-1	0	0			1	
<i18n=9746>	7071	1		18878	29413	0	0	191	-1	0	0			1	
<i18n=5230>	7072	1		25367	17019	0	0	160	-1	0	0			1	
<i18n=11273>	7073	1		28418	21209	0	0	100	-1	0	0			1	
<i18n=13058>	10000	1		12482	13518	0	0	191	-1	0	0				
