nLevel	nSkillLevel	nMin	nImitity
1	1	1	200
2	2	201	400
3	3	401	600
4	4	601	800
5	5	801	1000
6	6	1001	1400
7	7	1401	1800
8	8	1801	2200
9	9	2201	2600
10	10	2601	3000
11	11	3001	3600
12	12	3601	4200
13	13	4201	4800
14	14	4801	5400
15	15	5401	6000
16	16	6001	7800
17	17	7801	9600
18	18	9601	11400
19	19	11401	13200
20	20	13201	15000
21	21	15001	18000
22	22	18001	21000
23	23	21001	24000
24	24	24001	27000
25	25	27001	30000
26	26	30001	36000
27	27	36001	42000
28	28	42001	48000
29	29	48001	54000
30	30	54001	60000
31	31	60001	72000
32	32	72001	84000
33	33	84001	96000
34	34	96001	108000
35	35	108001	120000
36	36	120001	144000
37	37	144001	168000
38	38	168001	192000
39	39	192001	216000
40	40	216001	240000
41	41	240001	288000
42	42	288001	336000
43	43	336001	384000
44	44	384001	432000
45	45	432001	480000
46	46	480001	576000
47	47	576001	672000
48	48	672001	768000
49	49	768001	864000
50	50	864001	9999999
