nTemplateId	nMax	nCost	szTimeFrameStart	szTimeFrameEnd	szRemind
502	20	20
503	20	20	OpenLevel69		<i18n=84127>
504	20	20	OpenLevel99		<i18n=82256>
505	20	20	OpenLevel129		<i18n=84113>
500	20	20	OpenLevel159		<i18n=82257>
499	20	20	OpenLevel189		<i18n=82272>
760	20	20	OpenLevel219		<i18n=82259>
761	20	20	OpenLevel249		<i18n=84115>
762	20	20	OpenLevel279		<i18n=82264>
20382	20	20	OpenLevel59		<i18n=82282>
20380	20	20	OpenLevel79		<i18n=82142>
33014	20	20	OpenLevel89		<i18n=82135>
671602	20	20	OpenLevel99		<i18n=82256>
35302	20	20	OpenLevel119		<i18n=82270>
19988	20	20	OpenLevel119		<i18n=82270>
19989	20	20	OpenLevel139		<i18n=82258>
19990	20	20	OpenLevel159		<i18n=82257>
19991	20	20	OpenLevel179		<i18n=82271>
19992	20	20	OpenLevel199		<i18n=82266>
19993	20	20	OpenLevel219		<i18n=82259>
19994	20	20	OpenLevel239		<i18n=82249>
19995	20	20	OpenLevel259		<i18n=82268>
19996	20	20	OpenLevel279		<i18n=82264>
19997	20	20	OpenLevel299		<i18n=82265>
3011	20	20	OpenLevel129		<i18n=84113>
80003	20	20	OpenLevel139		<i18n=82258>
3020	20	20	OpenLevel159		<i18n=82257>
2503	20	20	OpenLevel169		<i18n=84134>
