nResId	nFaction	szMaleEquipId1	szMaleEquipId2	szMaleEquipId3	szFemaleEquipId1	szFemaleEquipId2	szFemaleEquipId3
1	2	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
2	1	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
3	12	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
4	8	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
5	4	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
6	3	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
7	10	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
8	9	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
9	7	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
10	6	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507	nWeapon,150033;nArmor,110033;nHelm,100033;nMantle,43503	nWeapon,150036;nArmor,110036;nHelm,100036;nMantle,43506	nWeapon,150039;nArmor,110039;nHelm,100039;nMantle,43507
