AwardType	AwardValue1	AwardValue2	AwardValue3	RandRate	XiuLianRate	TimeFrame	WorldNotify	KinNotify	TeamNotify	Name
Coin	5000			110000000	110000000	OpenLevel69			3	<i18n=银两>
KinContrib	500			115000000	115000000	OpenLevel69			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel69			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel69			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel69			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel69			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel69			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel69			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel69			3	<i18n=13890>
Award	1001	180		80000000	80000000	OpenLevel69	5	4	3	<i18n=16621>
Coin	5000			110000000	110000000	OpenLevel79			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel79			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel79			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel79			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel79			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel79			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel79			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel79			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel79			3	<i18n=13890>
Award	1001	181		80000000	80000000	OpenLevel79	5	4	3	<i18n=16625>
Item	31640	1		15000000	15000000	OpenLevel79				<i18n=23711>
Coin	5000			110000000	110000000	OpenLevel89			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel89			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel89			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel89			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel89			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel89			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel89			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel89			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel89			3	<i18n=13890>
Award	1001	182		80000000	80000000	OpenLevel89	5	4	3	<i18n=16617>
Item	31640	1		15000000	15000000	OpenLevel89				<i18n=23711>
Coin	5000			110000000	110000000	OpenLevel99			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel99			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel99			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel99			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel99			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel99			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel99			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel99			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel99			3	<i18n=13890>
Award	1001	183		80000000	80000000	OpenLevel99	5	4	3	<i18n=16610>
Item	31640	1		15000000	15000000	OpenLevel99				<i18n=23711>
Coin	5000			110000000	110000000	OpenLevel109			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel109			3	<i18n=12181>
Item	211	1		100000000	100000000	OpenLevel109			3	<i18n=10980>
Item	209	8		100000000	100000000	OpenLevel109			3	<i18n=122>
Item	901	88		100000000	100000000	OpenLevel109			3	<i18n=15577>
YuanBao	88			100000000	100000000	OpenLevel109			3	<i18n=4567>
Item	3002	10		100000000	100000000	OpenLevel109			3	<i18n=13675>
Item	31001	10		95000000	95000000	OpenLevel109			3	<i18n=13235>
Item	324	1		100000000	100000000	OpenLevel109			3	<i18n=13890>
Award	1001	184		80000000	80000000	OpenLevel109	5	4	3	<i18n=16623>
Item	31641	1		15000000	15000000	OpenLevel109				<i18n=23775>
Coin	5000			110000000	110000000	OpenLevel119			3	<i18n=银两>
KinContrib	500			100000000	100000000	OpenLevel119			3	<i18n=12181>
