AwardType	AwardValue1	AwardValue2	AwardValue3	RandRate	XiuLianRate	TimeFrame	WorldNotify	KinNotify	TeamNotify	Name
Coin	1000			110000000	110000000	OpenLevel39			3	<i18n=银两>
KinContrib	300			150000000	150000000	OpenLevel39			3	<i18n=12181>
Item	211	1		30000000	30000000	OpenLevel39			3	<i18n=10980>
Item	209	2		200000000	200000000	OpenLevel39			3	<i18n=122>
Item	901	30		100000000	100000000	OpenLevel39			3	<i18n=15577>
YuanBao	20			150000000	150000000	OpenLevel39			3	<i18n=4567>
Item	3002	3		100000000	100000000	OpenLevel39			3	<i18n=13675>
Item	3001	30		100000000	100000000	OpenLevel39			3	<i18n=2873>
Award	1001	177		60000000	60000000	OpenLevel39	5	4	3	<i18n=16615>
Coin	1000			110000000	110000000	OpenLevel49			3	<i18n=银两>
KinContrib	300			150000000	150000000	OpenLevel49			3	<i18n=12181>
Item	211	1		30000000	30000000	OpenLevel49			3	<i18n=10980>
Item	209	2		200000000	200000000	OpenLevel49			3	<i18n=122>
Item	901	30		100000000	100000000	OpenLevel49			3	<i18n=15577>
YuanBao	20			150000000	150000000	OpenLevel49			3	<i18n=4567>
Item	3002	3		100000000	100000000	OpenLevel49			3	<i18n=13675>
Item	3001	30		100000000	100000000	OpenLevel49			3	<i18n=2873>
Award	1001	178		60000000	60000000	OpenLevel49	5	4	3	<i18n=16613>
Coin	1000			110000000	110000000	OpenLevel59			3	<i18n=银两>
KinContrib	300			150000000	150000000	OpenLevel59			3	<i18n=12181>
Item	211	1		30000000	30000000	OpenLevel59			3	<i18n=10980>
Item	209	2		200000000	200000000	OpenLevel59			3	<i18n=122>
Item	901	30		100000000	100000000	OpenLevel59			3	<i18n=15577>
YuanBao	20			150000000	150000000	OpenLevel59			3	<i18n=4567>
Item	3002	3		100000000	100000000	OpenLevel59			3	<i18n=13675>
Item	3001	30		100000000	100000000	OpenLevel59			3	<i18n=2873>
Award	1001	179		60000000	60000000	OpenLevel59	5	4	3	<i18n=16614>
Coin	1000			110000000	110000000	OpenLevel69			3	<i18n=银两>
KinContrib	300			150000000	150000000	OpenLevel69			3	<i18n=12181>
Item	211	1		30000000	30000000	OpenLevel69			3	<i18n=10980>
Item	209	2		200000000	200000000	OpenLevel69			3	<i18n=122>
Item	901	30		100000000	100000000	OpenLevel69			3	<i18n=15577>
YuanBao	20			150000000	150000000	OpenLevel69			3	<i18n=4567>
Item	3002	3		100000000	100000000	OpenLevel69			3	<i18n=13675>
Item	3001	30		100000000	100000000	OpenLevel69			3	<i18n=2873>
Award	1001	180		60000000	60000000	OpenLevel69	5	4	3	<i18n=16621>
Coin	1000			110000000	110000000	OpenLevel79			3	<i18n=银两>
KinContrib	300			150000000	150000000	OpenLevel79			3	<i18n=12181>
Item	211	1		30000000	30000000	OpenLevel79			3	<i18n=10980>
Item	209	2		200000000	200000000	OpenLevel79			3	<i18n=122>
Item	901	30		100000000	100000000	OpenLevel79			3	<i18n=15577>
YuanBao	20			135000000	135000000	OpenLevel79			3	<i18n=4567>
Item	3002	3		100000000	100000000	OpenLevel79			3	<i18n=13675>
Item	3001	30		100000000	100000000	OpenLevel79			3	<i18n=2873>
Award	1001	181		60000000	60000000	OpenLevel79	5	4	3	<i18n=16625>
Item	31640	1		15000000	15000000	OpenLevel79				<i18n=23711>
Coin	1000			110000000	110000000	OpenLevel89			3	<i18n=银两>
KinContrib	300			150000000	150000000	OpenLevel89			3	<i18n=12181>
Item	211	1		30000000	30000000	OpenLevel89			3	<i18n=10980>
Item	209	2		200000000	200000000	OpenLevel89			3	<i18n=122>
Item	901	30		100000000	100000000	OpenLevel89			3	<i18n=15577>
YuanBao	20			135000000	135000000	OpenLevel89			3	<i18n=4567>
Item	3002	3		100000000	100000000	OpenLevel89			3	<i18n=13675>
