_szInfo	nAiTypeId	szInfo	szAiPath	nAiSkillId1	nAiSkillId2
<i18n=16992>	1	<i18n=19090>	Setting/Npc/Ai/partner/lengjing.ini	101	102
<i18n=3929>	2	<i18n=19084>	Setting/Npc/Ai/partner/huzhu.ini	101	102
<i18n=16996>	3	<i18n=19082>	Setting/Npc/Ai/partner/yongmeng.ini	101	102
<i18n=16997>	4	<i18n=19092>	Setting/Npc/Ai/partner/jingming.ini	101	102
<i18n=16994>	5	<i18n=19080>	Setting/Npc/Ai/partner/zhengsheng.ini	101	102
<i18n=8384>	6	<i18n=19085>	Setting/Npc/Ai/partner/wenzhong.ini	101	102
<i18n=16988>	7	<i18n=19079>	Setting/Npc/Ai/partner/jingshen.ini	101	102
<i18n=14688>	8	<i18n=19091>	Setting/Npc/Ai/partner/shixue.ini	101	102
<i18n=16986>	9	<i18n=19089>	Setting/Npc/Ai/partner/jiaozha.ini	101	102
<i18n=16991>	10	<i18n=19093>	Setting/Npc/Ai/partner/zhongyi.ini	101	102
<i18n=16995>	11	<i18n=19109>	Setting/Npc/Ai/partner/guogan.ini	101	102
<i18n=6119>	12	<i18n=19110>	Setting/Npc/Ai/partner/buqu.ini	101	102
<i18n=16985>	13	<i18n=19083>	Setting/Npc/Ai/partner/wenwan.ini	101	102
<i18n=16990>	14	<i18n=19088>	Setting/Npc/Ai/partner/weiyan.ini	101	102
<i18n=16987>	15	<i18n=19081>	Setting/Npc/Ai/partner/zhuiji.ini	101	102
<i18n=16984>	16	<i18n=19086>	Setting/Npc/Ai/partner/kuangbao.ini	101	102
