nPartnerId	nNpcTemplateId	_Name
1	12104	<i18n=7764>
2	12105	<i18n=12854>
3	12106	<i18n=2486>
4	12107	<i18n=2248>
5	12108	<i18n=679>
6	12109	<i18n=12234>
7	12110	<i18n=9517>
8	12111	<i18n=6976>
9	12112	<i18n=13812>
10	12113	<i18n=14619>
11	12114	<i18n=107>
12	12115	<i18n=9390>
13	12116	<i18n=10375>
14	12117	<i18n=8121>
15	12118	<i18n=11850>
16	12119	<i18n=2960>
17	12120	<i18n=13572>
18	12121	<i18n=2071>
19	12122	<i18n=5829>
20	12123	<i18n=11037>
21	12124	<i18n=9970>
22	12125	<i18n=12717>
23	12126	<i18n=14579>
24	12127	<i18n=1642>
25	12128	<i18n=10092>
26	12129	<i18n=5678>
27	12130	<i18n=15713>
28	12131	<i18n=1006>
29	12132	<i18n=14844>
30	12133	<i18n=9144>
31	12134	<i18n=8346>
32	12135	<i18n=7916>
33	12136	<i18n=15415>
34	12137	<i18n=10827>
35	12138	<i18n=1203>
36	12139	<i18n=13128>
37	12140	<i18n=11410>
38	12141	<i18n=3612>
39	12142	<i18n=11482>
40	12143	<i18n=15578>
41	12144	<i18n=16423>
42	12145	<i18n=6196>
43	12146	<i18n=3997>
44	12147	<i18n=8513>
45	12148	<i18n=10126>
46	12149	<i18n=11368>
47	12150	<i18n=15794>
48	12151	<i18n=12325>
49	12152	<i18n=14854>
50	12153	<i18n=5283>
51	12154	<i18n=1861>
52	12155	<i18n=944>
53	12156	<i18n=12187>
54	12157	<i18n=13051>
55	12158	<i18n=4713>
56	12159	<i18n=12705>
57	12160	<i18n=13164>
58	12161	<i18n=5047>
59	12162	<i18n=11027>
60	12163	<i18n=6881>
61	12164	<i18n=4811>
62	12165	<i18n=8596>
63	12166	<i18n=11843>
64	12167	<i18n=2516>
65	12168	<i18n=8852>
66	12169	<i18n=2899>
67	11998	<i18n=6984>
68	11999	<i18n=8672>
69	12000	<i18n=11823>
