nLevel	nSSS	nSSS_Base	nSS	nSS_Base	nS	nS_Base	nA	nA_Base	nB	nB_Base
1	150000	3000	125000	3000	100000	3000	87500	3000	75000	3000
2	225000	3000	187500	3000	150000	3000	131250	3000	112500	3000
3	300000	3000	250000	3000	200000	3000	175000	3000	150000	3000
4	375000	3000	312500	3000	250000	3000	218750	3000	187500	3000
5	450000	3000	375000	3000	300000	3000	262500	3000	225000	3000
6	525000	3000	437500	3000	350000	3000	306250	3000	262500	3000
7	600000	3000	500000	3000	400000	3000	350000	3000	300000	3000
8	675000	3000	562500	3000	450000	3000	393750	3000	337500	3000
9	750000	3000	625000	3000	500000	3000	437500	3000	375000	3000
10	825000	3000	687500	3000	550000	3000	481250	3000	412500	3000
11	900000	3000	750000	3000	600000	3000	525000	3000	450000	3000
12	975000	3000	812500	3000	650000	3000	568750	3000	487500	3000
13	1050000	3000	875000	3000	700000	3000	612500	3000	525000	3000
14	1125000	3000	937500	3000	750000	3000	656250	3000	562500	3000
15	1200000	3000	1000000	3000	800000	3000	700000	3000	600000	3000
16	1275000	3000	1062500	3000	850000	3000	743750	3000	637500	3000
17	1350000	3000	1125000	3000	900000	3000	787500	3000	675000	3000
18	1425000	3000	1187500	3000	950000	3000	831250	3000	712500	3000
19	1500000	3000	1250000	3000	1000000	3000	875000	3000	750000	3000
20	1575000	3000	1312500	3000	1050000	3000	918750	3000	787500	3000
21	1650000	3000	1375000	3000	1100000	3000	962500	3000	825000	3000
22	1725000	3000	1437500	3000	1150000	3000	1006250	3000	862500	3000
23	1800000	3000	1500000	3000	1200000	3000	1050000	3000	900000	3000
24	1875000	3000	1562500	3000	1250000	3000	1093750	3000	937500	3000
25	1950000	3000	1625000	3000	1300000	3000	1137500	3000	975000	3000
26	2025000	3000	1687500	3000	1350000	3000	1181250	3000	1012500	3000
27	2100000	3000	1750000	3000	1400000	3000	1225000	3000	1050000	3000
28	2175000	3000	1812500	3000	1450000	3000	1268750	3000	1087500	3000
29	2250000	3000	1875000	3000	1500000	3000	1312500	3000	1125000	3000
30	4500000	3000	3750000	3000	3000000	3000	2625000	3000	2250000	3000
31	5100000	3000	4250000	3000	3400000	3000	2975000	3000	2550000	3000
32	5700000	3000	4750000	3000	3800000	3000	3325000	3000	2850000	3000
33	6300000	3000	5250000	3000	4200000	3000	3675000	3000	3150000	3000
34	6900000	3000	5750000	3000	4600000	3000	4025000	3000	3450000	3000
35	7500000	3000	6250000	3000	5000000	3000	4375000	3000	3750000	3000
36	8100000	3000	6750000	3000	5400000	3000	4725000	3000	4050000	3000
37	8700000	3000	7250000	3000	5800000	3000	5075000	3000	4350000	3000
38	9300000	3000	7750000	3000	6200000	3000	5425000	3000	4650000	3000
39	9900000	3000	8250000	3000	6600000	3000	5775000	3000	4950000	3000
40	14250000	5000	11875000	5000	9500000	5000	8312500	5000	7125000	5000
41	16500000	5000	13750000	5000	11000000	5000	9625000	5000	8250000	5000
42	18750000	5000	15625000	5000	12500000	5000	10937500	5000	9375000	5000
43	21000000	5000	17500000	5000	14000000	5000	12250000	5000	10500000	5000
44	23250000	5000	19375000	5000	15500000	5000	13562500	5000	11625000	5000
45	25500000	5000	21250000	5000	17000000	5000	14875000	5000	12750000	5000
46	27750000	5000	23125000	5000	18500000	5000	16187500	5000	13875000	5000
47	30000000	5000	25000000	5000	20000000	5000	17500000	5000	15000000	5000
48	32250000	5000	26875000	5000	21500000	5000	18812500	5000	16125000	5000
49	34500000	5000	28750000	5000	23000000	5000	20125000	5000	17250000	5000
50	41250000	7000	34375000	7000	27500000	7000	24062500	7000	20625000	7000
51	45000000	7000	37500000	7000	30000000	7000	26250000	7000	22500000	7000
52	48750000	7000	40625000	7000	32500000	7000	28437500	7000	24375000	7000
53	52500000	7000	43750000	7000	35000000	7000	30625000	7000	26250000	7000
54	56250000	7000	46875000	7000	37500000	7000	32812500	7000	28125000	7000
55	60000000	7000	50000000	7000	40000000	7000	35000000	7000	30000000	7000
56	63750000	7000	53125000	7000	42500000	7000	37187500	7000	31875000	7000
57	67500000	7000	56250000	7000	45000000	7000	39375000	7000	33750000	7000
58	71250000	7000	59375000	7000	47500000	7000	41562500	7000	35625000	7000
59	75000000	7000	62500000	7000	50000000	7000	43750000	7000	37500000	7000
60	105000000	11000	87500000	11000	70000000	11000	61250000	11000	52500000	11000
61	112500000	11000	93750000	11000	75000000	11000	65625000	11000	56250000	11000
62	120000000	11000	100000000	11000	80000000	11000	70000000	11000	60000000	11000
63	127500000	11000	106250000	11000	85000000	11000	74375000	11000	63750000	11000
64	135000000	11000	112500000	11000	90000000	11000	78750000	11000	67500000	11000
65	142500000	11000	118750000	11000	95000000	11000	83125000	11000	71250000	11000
66	150000000	11000	125000000	11000	100000000	11000	87500000	11000	75000000	11000
67	157500000	11000	131250000	11000	105000000	11000	91875000	11000	78750000	11000
68	165000000	11000	137500000	11000	110000000	11000	96250000	11000	82500000	11000
69	172500000	11000	143750000	11000	115000000	11000	100625000	11000	86250000	11000
70	181500000	11000	151250000	11000	121000000	11000	105875000	11000	90750000	11000
71	190500000	11000	158750000	11000	127000000	11000	111125000	11000	95250000	11000
72	199500000	11000	166250000	11000	133000000	11000	116375000	11000	99750000	11000
73	208500000	11000	173750000	11000	139000000	11000	121625000	11000	104250000	11000
74	217500000	11000	181250000	11000	145000000	11000	126875000	11000	108750000	11000
75	226500000	11000	188750000	11000	151000000	11000	132125000	11000	113250000	11000
76	235500000	11000	196250000	11000	157000000	11000	137375000	11000	117750000	11000
77	244500000	11000	203750000	11000	163000000	11000	142625000	11000	122250000	11000
