nId	szName	nPartnerId1	nPartnerId2	nPartnerId3	nPartnerId4	nPartnerId5	nImproveType1	nImproveValue1	szLevelupSection1	nImproveType2	nImproveValue2	szLevelupSection2	nImproveType3	nImproveValue3	szLevelupSection3	nRequireFightPower	nFightPower
1	<i18n=68387>	11998	11999	12000			basic_damage_v	3|0|3	1,3	deadlystrike_v	3	1	lifemax_v	50	1	7500	200
2	<i18n=14009>	12001	12002	12003	12004		all_series_resist_v	3	1	steallife_v	5	1	deadlystrike_damage_v	3	1	7500	160
3	<i18n=2039>	12005	12006	12007			ignore_all_resist_v	100|3	2	deadlystrike_v	3	1	recover_life_v	3|9	1	7500	160
4	<i18n=2434>	12008	12009	12010			basic_damage_v	3|0|3	1,3	lifemax_v	50	1	vitality_v	3	1	7500	160
5	<i18n=15269>	12011	12012	12013			strength_v	3	1	energy_v	3	1	recover_life_v	3|9	1	7500	160
6	<i18n=12191>	12014	12015	12016	12017		deadlystrike_v	2	1	weaken_deadlystrike_v	2	1				5000	96
7	<i18n=10551>	12018	12019	12020			deadlystrike_damage_v	2	1	weaken_deadlystrike_damage_v	2	1				5000	96
8	<i18n=2918>	12021	12022	12023	12024		vitality_v	2	1	energy_v	2	1				5000	96
9	<i18n=299>	12025	12026	12027			vitality_v	2	1	all_series_resist_v	2	1				5000	96
10	<i18n=13722>	12028	12029	12030			ignore_all_resist_v	100|2	2	lifemax_v	50	1				5000	96
11	<i18n=5935>	12031	12032	12033			vitality_v	3	1							4500	64
12	<i18n=5785>	12034	12035	12036			energy_v	3	1							4500	64
13	<i18n=10838>	12037	12038	12039	12040		ignore_defense_v	3	1							4500	64
14	<i18n=633>	12041	12042	12043	12044		deadlystrike_damage_v	3	1							4500	64
15	<i18n=7365>	12045	12046	12047	12048		weaken_deadlystrike_damage_v	3	1							4500	64
16	<i18n=3322>	12049	12050	12051			lifemax_v	20	1							4000	32
17	<i18n=4556>	12052	12053	12054	12055		attackrating_v	2	1							4000	32
18	<i18n=5147>	12056	12057	12058			defense_v	2	1							4000	32
19	<i18n=663>	12059	12060	12061	12062		deadlystrike_v	2	1							4000	32
20	<i18n=3027>	12063	12064	12065	12066		weaken_deadlystrike_v	2	1							4000	32
