nId	szName	szIconPath	szSkillDesc	szAttrib	szAttribValue1	szAttribValue2	szAttribValue3	szAttribValue4	szAttribValue5	szAttribValue6	szAttribValue7	szAttribValue8	szAttribValue9	szAttribValue10	szAttribValue11	szAttribValue12	szAttribValue13	szAttribValue14	szAttribValue15	szAttribValue16	szAttribValue17	szAttribValue18	nSkillBookId
1	<i18n=3166>	UI/icon/item/partner/xxjn1.png	<i18n=4030>	allsect_metaldamage_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3501
2	<i18n=5250>	UI/icon/item/partner/xxjn1.png	<i18n=8273>	allsect_wooddamage_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3502
3	<i18n=145>	UI/icon/item/partner/xxjn1.png	<i18n=7077>	allsect_waterdamage_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3503
4	<i18n=7842>	UI/icon/item/partner/xxjn1.png	<i18n=10176>	allsect_firedamage_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3504
5	<i18n=7463>	UI/icon/item/partner/xxjn1.png	<i18n=1932>	allsect_earthdamage_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3505
6	<i18n=2629>	UI/icon/item/partner/xxjn2.png	<i18n=2881>	add_base_damage_q	2,0,0	4,0,0	7,0,0	10,0,0	14,0,0	18,0,0	22,0,0	26,0,0	31,0,0	36,0,0	41,0,0	46,0,0	51,0,0	56,0,0	61,0,0	66,0,0	71,0,0	76,0,0	3506
7	<i18n=5029>	UI/icon/item/partner/xxjn5.png	<i18n=14552>	all_series_resist_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3507
8	<i18n=500>	UI/icon/item/partner/xxjn4.png	<i18n=12131>	steallife_v	20,0,0	44,0,0	72,0,0	102,0,0	138,0,0	180,0,0	220,0,0	265,0,0	315,0,0	365,0,0	415,0,0	465,0,0	515,0,0	565,0,0	615,0,0	665,0,0	715,0,0	765,0,0	3508
9	<i18n=10171>	UI/icon/item/partner/xxjn3.png	<i18n=715>	attackrating_v	10,0,0	22,0,0	36,0,0	51,0,0	69,0,0	90,0,0	110,0,0	133,0,0	158,0,0	183,0,0	208,0,0	233,0,0	258,0,0	283,0,0	308,0,0	333,0,0	358,0,0	383,0,0	3509
10	<i18n=9713>	UI/icon/item/partner/xxjn5.png	<i18n=1278>	metal_resist_v	50,0,0	110,0,0	180,0,0	255,0,0	345,0,0	450,0,0	550,0,0	663,0,0	788,0,0	913,0,0	1038,0,0	1163,0,0	1288,0,0	1413,0,0	1538,0,0	1663,0,0	1788,0,0	1913,0,0	3510
11	<i18n=10999>	UI/icon/item/partner/xxjn5.png	<i18n=10002>	wood_resist_v	50,0,0	110,0,0	180,0,0	255,0,0	345,0,0	450,0,0	550,0,0	663,0,0	788,0,0	913,0,0	1038,0,0	1163,0,0	1288,0,0	1413,0,0	1538,0,0	1663,0,0	1788,0,0	1913,0,0	3511
12	<i18n=7179>	UI/icon/item/partner/xxjn5.png	<i18n=12850>	water_resist_v	50,0,0	110,0,0	180,0,0	255,0,0	345,0,0	450,0,0	550,0,0	663,0,0	788,0,0	913,0,0	1038,0,0	1163,0,0	1288,0,0	1413,0,0	1538,0,0	1663,0,0	1788,0,0	1913,0,0	3512
13	<i18n=13282>	UI/icon/item/partner/xxjn5.png	<i18n=9367>	fire_resist_v	50,0,0	110,0,0	180,0,0	255,0,0	345,0,0	450,0,0	550,0,0	663,0,0	788,0,0	913,0,0	1038,0,0	1163,0,0	1288,0,0	1413,0,0	1538,0,0	1663,0,0	1788,0,0	1913,0,0	3513
