nQuality	nStarLevel	nNeedLevel	nCostParNum	szTimeFrame
1	1	20	1	OpenLevel39
1	2	30	1	OpenLevel39
1	3	40	2	OpenLevel49
1	4	60	3	OpenLevel69
1	5	70	4	OpenLevel79
1	6	80	4	OpenLevel89
1	7	90	5	OpenLevel99
1	8	100	5	OpenLevel109
1	9	120	6	OpenLevel129
1	10	140	6	OpenLevel149
1	11	160	6	OpenLevel169
1	12	180	6	OpenLevel189
1	13	200	6	OpenLevel209
1	14	220	8	OpenLevel229
1	15	240	8	OpenLevel249
1	16	260	8	OpenLevel269
1	17	280	8	OpenLevel289
2	1	20	1	OpenLevel39
2	2	30	1	OpenLevel39
2	3	40	2	OpenLevel49
2	4	60	3	OpenLevel69
2	5	70	4	OpenLevel79
2	6	80	4	OpenLevel89
2	7	90	5	OpenLevel99
2	8	100	5	OpenLevel109
2	9	120	6	OpenLevel129
2	10	140	6	OpenLevel149
2	11	160	6	OpenLevel169
2	12	180	6	OpenLevel189
2	13	200	6	OpenLevel209
2	14	220	8	OpenLevel229
2	15	240	8	OpenLevel249
2	16	260	8	OpenLevel269
2	17	280	8	OpenLevel289
3	1	20	1	OpenLevel39
3	2	30	1	OpenLevel39
3	3	40	2	OpenLevel49
3	4	60	3	OpenLevel69
3	5	70	4	OpenLevel79
3	6	80	4	OpenLevel89
3	7	90	5	OpenLevel99
3	8	100	5	OpenLevel109
3	9	120	6	OpenLevel129
3	10	140	6	OpenLevel149
3	11	160	6	OpenLevel169
3	12	180	6	OpenLevel189
3	13	200	6	OpenLevel209
3	14	220	8	OpenLevel229
3	15	240	8	OpenLevel249
3	16	260	8	OpenLevel269
3	17	280	8	OpenLevel289
4	1	20	1	OpenLevel39
4	2	30	1	OpenLevel39
4	3	40	2	OpenLevel49
4	4	60	3	OpenLevel69
4	5	70	4	OpenLevel79
4	6	80	4	OpenLevel89
4	7	90	5	OpenLevel99
4	8	100	5	OpenLevel109
5	1	20	1	OpenLevel39
5	2	30	1	OpenLevel39
5	3	40	2	OpenLevel49
5	4	60	3	OpenLevel69
5	5	70	4	OpenLevel79
5	6	80	4	OpenLevel89
5	7	90	5	OpenLevel99
5	8	100	5	OpenLevel109
