nId	szName	szTimeFrame	nValue	nSeries	nAiType	_nAiTypeName	nGrowthType	nQualityLevel	nNpcTemplateId	nBaseSkillId	nitemid	nHide	tbnStarUpCostParIdList1	tbnStarUpCostParIdList2	tbnStarUpCostParIdList3	tbnStarUpCostParIdList4	tbnStarUpCostParIdList5	tbnStarUpCostParIdList6	tbnStarUpCostParIdList7	tbnStarUpCostParIdList8	tbnStarUpCostParIdList9	tbnStarUpCostParIdList10	tbnStarUpCostParIdList11	tbnStarUpCostParIdList12	nProtectSkillId	nJueXingSkillId
1	<i18n=7764>	OpenLevel39	300	4	8	<i18n=14688>	1	2	12001	10350	3101		1	1	1	1	1	1	1	1	1	1	1	1	8001	9
2	<i18n=12854>	OpenLevel39	300	1	2	<i18n=3929>	4	2	12002	10342	3102		2	2	2	2	2	2	2	2	2	2	2	2	8002	1
3	<i18n=2486>	OpenLevel39	300	2	9	<i18n=16986>	2	2	12003	10344	3103		3	3	3	3	3	3	3	3	3	3	3	3	8003	4
4	<i18n=2248>	OpenLevel39	300	5	1	<i18n=16992>	6	2	12004	10354	3104		4	4	4	4	4	4	4	4	4	4	4	4	8004	13
5	<i18n=679>	OpenLevel39	300	3	10	<i18n=16991>	3	2	12005	10347	3105		5	5	5	5	5	5	5	5	5	5	5	5	8005	6
6	<i18n=12234>	OpenLevel39	300	1	5	<i18n=16994>	2	2	12006	10355	3106		6	6	6	6	6	6	6	6	6	6	6	6	8006	2
7	<i18n=9517>	OpenLevel39	300	4	3	<i18n=16996>	5	2	12007	10351	3107		7	7	7	7	7	7	7	7	7	7	7	7	8007	10
8	<i18n=6976>	OpenLevel39	300	2	11	<i18n=16995>	4	2	12008	10345	3108		8	8	8	8	8	8	8	8	8	8	8	8	8008	3
9	<i18n=13812>	OpenLevel39	300	3	4	<i18n=16997>	6	2	12009	10348	3109		9	9	9	9	9	9	9	9	9	9	9	9	8009	7
10	<i18n=14619>	OpenLevel39	300	4	13	<i18n=16985>	5	2	12010	10352	3110		10	10	10	10	10	10	10	10	10	10	10	10	8010	11
11	<i18n=107>	OpenLevel39	300	2	6	<i18n=8384>	6	2	12011	10346	3111		11	11	11	11	11	11	11	11	11	11	11	11	8011	5
12	<i18n=9390>	OpenLevel39	300	3	12	<i18n=6119>	3	2	12012	10349	3112		12	12	12	12	12	12	12	12	12	12	12	12	8012	8
13	<i18n=10375>	OpenLevel39	300	4	7	<i18n=16988>	2	2	12013	10353	3113		13	13	13	13	13	13	13	13	13	13	13	13	8013	12
14	<i18n=8121>	OpenLevel39	240	2	13	<i18n=16985>	5	3	12014	7013	3114		14	14	14	14	14	14	14	14	14	14	14	14	8014	18
15	<i18n=11850>	OpenLevel39	240	3	13	<i18n=16985>	3	3	12015	7014	3115		15	15	15	15	15	15	15	15	15	15	15	15	8012	22
16	<i18n=2960>	OpenLevel39	240	5	13	<i18n=16985>	1	3	12016	7017	3116		16	16	16	16	16	16	16	16	16	16	16	16	8015	28
17	<i18n=13572>	OpenLevel39	240	1	4	<i18n=16997>	2	3	12017	7018	3117		17	17	17	17	17	17	17	17	17	17	17	17	8016	14
18	<i18n=2071>	OpenLevel39	240	2	11	<i18n=16995>	3	3	12018	7020	3118		18	18	18	18	18	18	18	18	18	18	18	18	8017	19
19	<i18n=5829>	OpenLevel39	240	1	5	<i18n=16994>	1	3	12019	7022	3119		19	19	19	19	19	19	19	19	19	19	19	19	8018	15
20	<i18n=11037>	OpenLevel39	240	4	7	<i18n=16988>	2	3	12020	7023	3120		20	20	20	20	20	20	20	20	20	20	20	20	8013	25
21	<i18n=9970>	OpenLevel39	240	2	15	<i18n=16987>	6	3	12021	7025	3121		21	21	21	21	21	21	21	21	21	21	21	21	8011	20
22	<i18n=12717>	OpenLevel39	240	5	3	<i18n=16996>	5	3	12022	7028	3122		22	22	22	22	22	22	22	22	22	22	22	22	8019	29
23	<i18n=14579>	OpenLevel39	240	3	13	<i18n=16985>	4	3	12023	7030	3123		23	23	23	23	23	23	23	23	23	23	23	23	8020	23
24	<i18n=1642>	OpenLevel39	240	4	10	<i18n=16991>	6	3	12024	7031	3124		24	24	24	24	24	24	24	24	24	24	24	24	8021	26
25	<i18n=10092>	OpenLevel39	240	1	16	<i18n=16984>	3	3	12025	7032	3125		25	25	25	25	25	25	25	25	25	25	25	25	8006	16
26	<i18n=5678>	OpenLevel39	240	2	1	<i18n=16992>	4	3	12026	7033	3126		26	26	26	26	26	26	26	26	26	26	26	26	8023	21
27	<i18n=15713>	OpenLevel39	240	3	15	<i18n=16987>	6	3	12027	7034	3127		27	27	27	27	27	27	27	27	27	27	27	27	8009	24
28	<i18n=1006>	OpenLevel39	240	4	8	<i18n=14688>	6	3	12028	7002	3128		28	28	28	28	28	28	28	28	28	28	28	28	8025	27
29	<i18n=14844>	OpenLevel39	240	5	6	<i18n=8384>	5	3	12029	7018	3129		29	29	29	29	29	29	29	29	29	29	29	29	8026	30
