nGroupId	nAttrId	nWeight
1	1	20000
1	2	20000
1	3	20000
1	4	30000
1	5	30000
1	6	30000
1	7	30000
1	8	30000
1	9	30000
1	10	30000
1	11	30000
1	12	30000
1	13	30000
1	14	30000
1	15	30000
1	16	30000
1	17	20000
1	18	30000
1	19	30000
1	20	20000
1	21	20000
1	22	20000
1	23	20000
1	24	30000
1	25	30000
1	26	30000
1	27	30000
1	28	30000
1	29	30000
1	30	30000
1	31	30000
1	32	30000
1	33	30000
1	34	30000
1	35	30000
1	36	30000
2	37	20000
2	38	20000
2	39	20000
2	40	30000
2	41	30000
2	42	30000
2	43	30000
2	44	30000
2	45	30000
2	46	30000
2	47	30000
2	48	30000
2	49	30000
2	50	30000
2	51	30000
2	52	30000
2	53	20000
2	54	30000
2	55	30000
2	56	20000
2	57	20000
2	58	20000
2	59	20000
2	60	30000
2	61	30000
2	62	30000
2	63	30000
2	64	30000
2	65	30000
2	66	30000
2	67	30000
2	68	30000
2	69	30000
2	70	30000
2	71	30000
2	72	30000
3	73	20000
3	74	20000
3	75	20000
3	76	30000
3	77	30000
3	78	30000
3	79	30000
3	80	30000
3	81	30000
3	82	30000
3	83	30000
3	84	30000
3	85	30000
3	86	30000
3	87	30000
3	88	30000
3	89	20000
3	90	30000
3	91	30000
3	92	20000
3	93	20000
3	94	20000
3	95	20000
3	96	30000
3	97	30000
3	98	30000
3	99	30000
3	100	30000
3	101	30000
3	102	30000
3	103	30000
3	104	30000
3	105	30000
3	106	30000
3	107	30000
3	108	30000
