nQuality	nPos	szName	nAttrGroup1	nAttrVal11	nAttrVal12	nAttrVal13	nAttrGroup2	nAttrVal21	nAttrVal22	nAttrVal23	nFightPower	szShowBaseVal1	szShowAddVal1	szShowBaseVal2	szShowAddVal2
4	1	<i18n=68707>	1	100	0	0	11	100	100	0	700	100,0,0	0,0,0	100,100,0	100,0,0
4	2	<i18n=68703>	2	100	0	0	12	100	100	0	700	100,0,0	0,0,0	100,100,0	100,0,0
4	3	<i18n=68699>	3	100	0	0	13	100	100	0	700	100,0,0	0,0,0	100,100,0	100,0,0
4	4	<i18n=68711>	4	100	0	0	14	100	100	0	700	100,0,0	0,0,0	100,100,0	100,0,0
4	5	<i18n=68705>	5	100	0	0	15	100	100	0	700	100,0,0	0,0,0	100,100,0	100,0,0
4	6	<i18n=68709>	6	100	0	0	16	100	0	0	700	100,0,0	0,0,0	100,0,0	0.0,0
4	7	<i18n=68702>	7	100	0	0	17	100	0	0	700	100,0,0	0,0,0	100,0,0	0.0,0
4	8	<i18n=68708>	8	100	0	0	18	1	0	0	700	100,0,0	0,0,0	1,0,0	0.0,0
4	9	<i18n=68712>	9	100	0	0	19	1	0	0	700	100,0,0	0,0,0	1,0,0	0.0,0
4	10	<i18n=68713>	10	100	0	0	20	100	0	0	700	100,0,0	0,0,0	100,0,0	0.0,0
5	1	<i18n=68707>	1	125	0	0	11	100	125	0	700	100,0,0	25,0,0	100,100,0	100,25,0
5	2	<i18n=68703>	2	125	0	0	12	100	125	0	700	100,0,0	25,0,0	100,100,0	100,25,0
5	3	<i18n=68699>	3	125	0	0	13	100	125	0	700	100,0,0	25,0,0	100,100,0	100,25,0
5	4	<i18n=68711>	4	125	0	0	14	100	125	0	700	100,0,0	25,0,0	100,100,0	100,25,0
5	5	<i18n=68705>	5	125	0	0	15	100	125	0	700	100,0,0	25,0,0	100,100,0	100,25,0
5	6	<i18n=68709>	6	125	0	0	16	125	0	0	700	100,0,0	25,0,0	100,0,0	25,0,0
5	7	<i18n=68702>	7	125	0	0	17	125	0	0	700	100,0,0	25,0,0	100,0,0	25,0,0
5	8	<i18n=68708>	8	125	0	0	18	2	0	0	700	100,0,0	25,0,0	1,0,0	1,0,0
5	9	<i18n=68712>	9	125	0	0	19	2	0	0	700	100,0,0	25,0,0	1,0,0	1,0,0
5	10	<i18n=68713>	10	125	0	0	20	125	0	0	700	100,0,0	25,0,0	100,0,0	25,0,0
6	1	<i18n=68707>	1	150	0	0	11	100	150	0	700	100,0,0	50,0,0	100,100,0	100,50,0
6	2	<i18n=68703>	2	150	0	0	12	100	150	0	700	100,0,0	50,0,0	100,100,0	100,50,0
6	3	<i18n=68699>	3	150	0	0	13	100	150	0	700	100,0,0	50,0,0	100,100,0	100,50,0
6	4	<i18n=68711>	4	150	0	0	14	100	150	0	700	100,0,0	50,0,0	100,100,0	100,50,0
6	5	<i18n=68705>	5	150	0	0	15	100	150	0	700	100,0,0	50,0,0	100,100,0	100,50,0
6	6	<i18n=68709>	6	150	0	0	16	150	0	0	700	100,0,0	50,0,0	100,0,0	50,0,0
6	7	<i18n=68702>	7	150	0	0	17	150	0	0	700	100,0,0	50,0,0	100,0,0	50,0,0
6	8	<i18n=68708>	8	150	0	0	18	3	0	0	700	100,0,0	50,0,0	1,0,0	2,0,0
6	9	<i18n=68712>	9	150	0	0	19	3	0	0	700	100,0,0	50,0,0	1,0,0	2,0,0
6	10	<i18n=68713>	10	150	0	0	20	150	0	0	700	100,0,0	50,0,0	100,0,0	50,0,0
