Player\Npc	1-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90-99	100-109	110-119	120-129	130-139	140-149	150-159	160-169	170-179	180-189	190-199	200-209	210-219	220-229	230-239	240-249	250-259	260-269	270-279	280-289	290-299	300-309	310-319	320-329	330-339	340-349	350-359	360-369	370-379	380-389	390-399
1-9	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10-19	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
20-29	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
30-39	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
40-49	50	100	100	100	100	70	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
50-59	40	50	100	100	100	100	60	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
60-69	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
70-79	40	40	40	50	100	100	100	100	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
80-89	40	40	40	40	50	100	100	100	100	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
90-99	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
100-109	40	40	40	40	40	40	50	100	100	100	100	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
110-119	40	40	40	40	40	40	40	50	100	100	100	100	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
120-129	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
130-139	40	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
140-149	40	40	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
150-159	40	40	40	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
160-169	40	40	40	40	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
170-179	40	40	40	40	40	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
180-189	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
190-199	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	100	100	100	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
200-209	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
210-219	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
220-229	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
230-239	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
240-249	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40	40
250-259	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40	40	40
260-269	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40	40
270-279	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40	40
280-289	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40	40
290-299	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40	40
300-309	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40	40
310-319	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40	40
320-329	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40	40
330-339	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40	40
340-349	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40	40
350-359	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40	40
360-369	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40	40
370-379	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90	40
380-389	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100	90
390-399	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	70	80	90	100
