Level	ExpUpGrade	BaseAwardExp	RunSpeed	AttackSpeed	AttributePower	FightPower	DeadlyStrikeV	DeadlyStrikeDamageV	SeriesEnhanceV	BlockV	BlockDamageResistV	MaxLife	MaxMana	Miss	HitRate	MinBaseAttack	MaxBaseAttack	RecoverManaV
1	100000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
2	150000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
3	200000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
4	250000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
5	300000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
6	350000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
7	400000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
8	450000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
9	500000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
10	550000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
11	600000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
12	650000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
13	700000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
14	750000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
15	800000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
16	850000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
17	900000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
18	950000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
19	1000000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
20	1050000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
21	1100000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
22	1150000	3000	0	0	0	0	5	300	240	0	0	0	0	0	0	0	0	20
