Sex	Action	Direction	PartOrder
0	0	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	0	1	8,9,7,3,4,2,0,1,5,6
0	0	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	0	3	5,3,2,8,7,1,0,4,6,9
0	0	4	10,11,5,3,2,12,4,7,0,1,6,8,9
0	0	5	5,3,2,8,7,1,0,4,6,9
0	0	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	0	7	8,9,7,3,4,2,0,1,5,6
0	1	0	8,9,1,7,6,4,2,3,5,0
0	1	1	7,8,9,1,5,3,4,6,2,0
0	1	2	5,3,2,1,0,4,6
0	1	3	5,3,2,8,7,1,0,4,6,9
0	1	4	5,3,2,0,4,7,1,8,9,6
0	1	5	5,3,2,8,7,1,0,4,6,9
0	1	6	5,3,2,1,0,4,6
0	1	7	7,8,9,1,5,3,4,6,2,0
0	2	0	8,9,7,1,4,2,3,6,5,0
0	2	1	7,8,9,1,3,5,2,0,4,6
0	2	2	8,7,9,3,5,2,1,0,4,6
0	2	3	5,3,10,11,12,2,7,1,0,4,6,8,9
0	2	4	6,10,11,5,3,2,12,4,7,0,1,8,9
0	2	5	5,3,10,11,12,2,7,1,0,4,6,8,9
0	2	6	8,7,9,3,5,2,1,0,4,6
0	2	7	7,8,9,1,3,5,2,0,4,6
0	3	0	8,9,12,11,1,7,6,4,2,3,10,5,0
0	3	1	8,9,12,11,7,1,3,2,5,10,0,4,6
0	3	2	8,7,12,9,11,3,5,2,10,1,0,4,6
0	3	3	5,3,10,11,2,12,4,7,0,1,6,8,9
0	3	4	5,3,2,0,4,7,1,8,9,6
0	3	5	5,3,10,11,2,12,4,7,0,1,6,8,9
0	3	6	8,7,12,9,11,3,5,2,10,1,0,4,6
0	3	7	8,9,12,11,7,1,3,2,5,10,0,4,6
0	4	0	8,9,12,11,1,7,2,6,4,3,10,5,0
0	4	1	12,7,8,9,11,1,5,3,2,10,0,6,4
0	4	2	8,12,9,11,3,5,2,10,1,0,7,4,6
