Id	FaceID	BigFaceID	Faction	BodySex	Desc	Limit	Level	OpenUi	Icon	IconAtlas	Basic	SaveIdx	Source
1			12	0					UI/icon/portrait/boy_1.png				<i18n=2883>
2			10	1					UI/icon/portrait/girl_1.png				<i18n=7776>
4				0					UI/icon/portrait/boy_2.png				<i18n=7972>
3			11	0					UI/icon/portrait/boy_3.png				<i18n=7919>
5			9	0					UI/icon/portrait/boy_4.png				<i18n=15907>
6				0					UI/icon/portrait/boy_5.png				<i18n=7972>
7			4	0					UI/icon/portrait/boy_6.png				<i18n=4837>
8			3	0					UI/icon/portrait/boy_7.png				<i18n=5568>
9			10	0					UI/icon/portrait/boy_8.png				<i18n=7776>
10			6	0					UI/icon/portrait/boy_9.png				<i18n=9511>
11			8	0					UI/icon/portrait/boy_10.png				<i18n=12192>
12				0					UI/icon/portrait/boy_11.png				<i18n=7972>
13			7	0					UI/icon/portrait/boy_12.png				<i18n=11485>
14			1	0					UI/icon/portrait/boy_13.png				<i18n=12136>
15				0					UI/icon/portrait/boy_14.png				<i18n=7972>
16			2	0					UI/icon/portrait/boy_15.png				<i18n=11709>
17				0					UI/icon/portrait/boy_16.png				<i18n=7972>
18				0					UI/icon/portrait/boy_17.png				<i18n=7972>
19				0					UI/icon/portrait/boy_18.png				<i18n=7972>
20				0					UI/icon/portrait/boy_19.png				<i18n=7972>
21				0					UI/icon/portrait/boy_20.png				<i18n=7972>
23				1					UI/icon/portrait/girl_2.png				<i18n=7972>
22			3	1					UI/icon/portrait/girl_3.png				<i18n=5568>
24				1					UI/icon/portrait/girl_4.png				<i18n=7972>
25			6	1					UI/icon/portrait/girl_5.png				<i18n=9511>
26			4	1					UI/icon/portrait/girl_6.png				<i18n=4837>
27				1					UI/icon/portrait/girl_7.png				<i18n=7972>
28			7	1					UI/icon/portrait/girl_8.png				<i18n=11485>
29			2	1					UI/icon/portrait/girl_9.png				<i18n=11709>
30				1					UI/icon/portrait/girl_10.png				<i18n=7972>
31				1					UI/icon/portrait/girl_11.png				<i18n=7972>
32				1					UI/icon/portrait/girl_12.png				<i18n=7972>
33				1					UI/icon/portrait/girl_13.png				<i18n=7972>
34			12	1					UI/icon/portrait/girl_14.png				<i18n=2883>
35			8	1					UI/icon/portrait/girl_15.png				<i18n=12192>
36			9	1					UI/icon/portrait/girl_16.png				<i18n=15907>
37				1					UI/icon/portrait/girl_17.png				<i18n=7972>
38				1					UI/icon/portrait/girl_18.png				<i18n=7972>
39			5	1					UI/icon/portrait/girl_19.png				<i18n=11715>
40			11	1					UI/icon/portrait/girl_20.png				<i18n=7919>
41				0					UI/icon/portrait/KTO_activity_boy.png			1	<i18n=18914>
42				1					UI/icon/portrait/KTO_activity_girl.png			2	<i18n=18916>
43			13	0					UI/icon/portrait/boy_21.png				<i18n=28632>
44			13	1					UI/icon/portrait/girl_21.png				<i18n=28632>
45			14	0					UI/icon/portrait/boy_22.png				<i18n=36969>
46			14	1					UI/icon/portrait/girl_22.png				<i18n=36969>
47			15	0					UI/icon/portrait/boy_23.png				<i18n=43224>
48			15	1					UI/icon/portrait/girl_23.png				<i18n=43224>
49			16	0					UI/icon/portrait/boy_24.png				<i18n=49677>
50			16	1					UI/icon/portrait/girl_24.png				<i18n=49677>
51			17	0					UI/icon/portrait/boy_25.png				<i18n=55094>
52			17	1					UI/icon/portrait/girl_25.png				<i18n=55094>
53				0					UI/icon/portrait/shengritouxiangnan.png			3	<i18n=63784>
54				1					UI/icon/portrait/shengritouxiangnv.png			4	<i18n=63784>
55			18	0					UI/icon/portrait/boy_26.png				<i18n=68460>
56			18	1					UI/icon/portrait/girl_26.png				<i18n=68460>
57			19	0					UI/icon/portrait/boy_27.png				<i18n=78310>
58			19	1					UI/icon/portrait/girl_27.png				<i18n=78310>
59			20	0					UI/icon/portrait/boy_28.png				<i18n=84278>
60			20	1					UI/icon/portrait/girl_28.png				<i18n=84278>
61			21	0					UI/icon/portrait/boy_27.png				<i18n=84273>
62			21	1					UI/icon/portrait/girl_27.png				<i18n=84273>
