TimeFrame	ShowAwardID	ShowNpcID	Desc	BossId	BossNum	FalseBossId	FalseBossNum	NpcLevel	SeriesType	AwardId	TongAwardId	PosIDs	Sort
OpenLevel79	1	6108	<i18n=20791>	6108	1			75	0	39	39	5,6,7,8,9	1
OpenLevel79	1	6114	<i18n=21667>	6114	1			75	0	39	39	10,11,12,13	2
OpenLevel79	1	6117	<i18n=20790>	6117	1			75	0	39	39	14,15,16,17	3
OpenLevel79	1	6109	<i18n=20019>	6109	1			75	1	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	4
OpenLevel79	1	6110	<i18n=20011>	6110	1			75	2	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	5
OpenLevel79	1	6111	<i18n=20009>	6111	1			75	3	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	6
OpenLevel79	1	6112	<i18n=20008>	6112	1			75	4	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	7
OpenLevel79	1	6113	<i18n=20018>	6113	1			75	5	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	8
OpenLevel89	1	6108	<i18n=20791>	6108	1			85	0	39	39	5,6,7,8,9	1
OpenLevel89	1	6114	<i18n=21667>	6114	1			85	0	39	39	10,11,12,13	2
OpenLevel89	1	6117	<i18n=20790>	6117	1			85	0	39	39	14,15,16,17	3
OpenLevel89	1	6109	<i18n=20019>	6109	1			85	1	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	4
OpenLevel89	1	6110	<i18n=20011>	6110	1			85	2	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	5
OpenLevel89	1	6111	<i18n=20009>	6111	1			85	3	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	6
OpenLevel89	1	6112	<i18n=20008>	6112	1			85	4	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	7
OpenLevel89	1	6113	<i18n=20018>	6113	1			85	5	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	8
OpenLevel99	1	6108	<i18n=20791>	6108	1			95	0	39	39	5,6,7,8,9	1
OpenLevel99	1	6114	<i18n=21667>	6114	1			95	0	39	39	10,11,12,13	2
OpenLevel99	1	6117	<i18n=20790>	6117	1			95	0	39	39	14,15,16,17	3
OpenLevel99	1	6109	<i18n=20019>	6109	1			95	1	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	4
OpenLevel99	1	6110	<i18n=20011>	6110	1			95	2	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	5
OpenLevel99	1	6111	<i18n=20009>	6111	1			95	3	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	6
OpenLevel99	1	6112	<i18n=20008>	6112	1			95	4	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	7
OpenLevel99	1	6113	<i18n=20018>	6113	1			95	5	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	8
OpenLevel109	1	6108	<i18n=20791>	6108	1			105	0	39	39	5,6,7,8,9	1
OpenLevel109	1	6114	<i18n=21667>	6114	1			105	0	39	39	10,11,12,13	2
OpenLevel109	1	6117	<i18n=20790>	6117	1			105	0	39	39	14,15,16,17	3
OpenLevel109	1	6109	<i18n=20019>	6109	1			105	1	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	4
OpenLevel109	1	6110	<i18n=20011>	6110	1			105	2	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	5
OpenLevel109	1	6111	<i18n=20009>	6111	1			105	3	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	6
OpenLevel109	1	6112	<i18n=20008>	6112	1			105	4	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	7
OpenLevel109	1	6113	<i18n=20018>	6113	1			105	5	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	8
OpenLevel119	1	6108	<i18n=20791>	6108	1			115	0	39	39	5,6,7,8,9	1
OpenLevel119	1	6114	<i18n=21667>	6114	1			115	0	39	39	10,11,12,13	2
OpenLevel119	1	6117	<i18n=20790>	6117	1			115	0	39	39	14,15,16,17	3
OpenLevel119	1	6109	<i18n=20019>	6109	1			115	1	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	4
OpenLevel119	1	6110	<i18n=20011>	6110	1			115	2	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	5
OpenLevel119	1	6111	<i18n=20009>	6111	1			115	3	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	6
OpenLevel119	1	6112	<i18n=20008>	6112	1			115	4	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	7
OpenLevel119	1	6113	<i18n=20018>	6113	1			115	5	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	8
OpenLevel129	1	6108	<i18n=20791>	6108	1			125	0	39	39	5,6,7,8,9	1
OpenLevel129	1	6114	<i18n=21667>	6114	1			125	0	39	39	10,11,12,13	2
OpenLevel129	1	6117	<i18n=20790>	6117	1			125	0	39	39	14,15,16,17	3
OpenLevel129	1	6109	<i18n=20019>	6109	1			125	1	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	4
OpenLevel129	1	6110	<i18n=20011>	6110	1			125	2	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	5
OpenLevel129	1	6111	<i18n=20009>	6111	1			125	3	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	6
OpenLevel129	1	6112	<i18n=20008>	6112	1			125	4	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	7
OpenLevel129	1	6113	<i18n=20018>	6113	1			125	5	39	39	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	8
OpenLevel139	1	6108	<i18n=20791>	6108	1			135	0	39	39	5,6,7,8,9	1
OpenLevel139	1	6114	<i18n=21667>	6114	1			135	0	39	39	10,11,12,13	2
OpenLevel139	1	6117	<i18n=20790>	6117	1			135	0	39	39	14,15,16,17	3
