GraphicsDevice	QualityLevel
Adreno (TM) 308	0
Adreno (TM) 330	0
Adreno (TM) 405	0
Adreno (TM) 418	0
Adreno (TM) 430	1
Adreno (TM) 504	0
Adreno (TM) 505	0
Adreno (TM) 506	0
Adreno (TM) 508	1
Adreno (TM) 509	1
Adreno (TM) 510	1
Adreno (TM) 512	2
Adreno (TM) 530	2
Adreno (TM) 540	2
Adreno (TM) 605	0
Adreno (TM) 610	1
Adreno (TM) 612	2
Adreno (TM) 615	2
Adreno (TM) 616	2
Adreno (TM) 618	2
Adreno (TM) 619	2
Adreno (TM) 619L	2
Adreno (TM) 620	3
Adreno (TM) 630	3
Adreno (TM) 640	3
Adreno (TM) 642	3
Adreno (TM) 642L	3
Adreno (TM) 644	3
Adreno (TM) 650	3
Adreno (TM) 660	3
Adreno (TM) 675	3
Adreno (TM) 680	3
Adreno (TM) 685	3
Adreno (TM) 730	3
Adreno (TM) 740	3
Adreno 330	0
Adreno 504	0
Adreno 540	2
Adreno 619	2
Adreno 620	3
Adreno 642L	3
Adreno 650	3
Adreno 660	3
Adreno 730	3
Adreno509	1
Adreno512	2
Adreno540	2
Adreno615	2
Adreno616	2
Adreno618	2
Adreno620	3
Adreno630	3
Adreno640	3
Adreno650	3
Arm Mali-G610 MC6	3
ARM Mali-G68 MC4	3
ARM Mali-G77	3
Mali-G51	0
Mali-G51 MP4	0
Mali-G52	0
Mali-G52 MC2	1
Mali-G52 MP6	3
Mali-G57	3
Mali-G57 MC2	3
Mali-G57 MC3	3
Mali-G57 MC4	3
Mali-G57 MC5	3
Mali-G57MC3	3
Mali-G57MP6	3
Mali-G610 MC6	3
Mali-G68	3
Mali-G68 MC4	3
Mali-G71	1
Mali-G710 MC10	3
Mali-G71 MP2	1
Mali-G71 MP20	1
Mali-G71 MP8	0
Mali-G72	1
Mali-G72 MP3	1
Mali-G72 MP12	1
Mali-G72 MP18	1
Mali-G76	3
Mali-G76 MP10	3
Mali-G76 MP12	3
Mali-G76 MP16	3
Mali-G76 MP4	1
Mali-G76 MC4	1
Mali-G77	3
Mali-G77 (8-core)	3
Mali-G77 MC7	3
Mali-G77 MC9	3
Mali-G77MC9	3
Mali-G77 MP8	3
Mali-G78	3
Mali-G78 MP10	3
Mali-T624	0
Mali-T628	0
Mali-T720	0
Mali-T760	0
Mali-T760 MP8	1
Mali-T820	0
Mali-T830	0
Mali-T860	0
Mali-T860MP2	0
PowerVR GE8320	0
Mali-T880	0
Mali-T880 MP12	1
PowerVR Rogue g6200	0
PowerVR Rogue ge8100	0
PowerVR Rogue ge8300	0
PowerVR Rogue ge8320	0
PowerVR Rogue ge8322	0
PowerVR Rogue gm9446	1
PowerVR Rogue gt7400 plus	0
PowerVR Rogue gx6250	0
PowerVR Rogue Marlowe	1
