nAttrId	szAttrType
1	basic_damage_v
2	strength_v
3	dexterity_v
4	vitality_v
5	energy_v
6	recover_life_v
7	recover_mana_v
8	all_series_resist_v
9	metal_resist_v
10	wood_resist_v
11	water_resist_v
12	fire_resist_v
13	earth_resist_v
14	ignore_all_resist_v
15	attackrating_v
16	defense_v
17	ignore_defense_v
18	lifemax_v
19	manamax_v
20	deadlystrike_v
21	weaken_deadlystrike_v
22	deadlystrike_damage_v
23	weaken_deadlystrike_damage_v
24	steallife_v
25	stealmana_v
26	meleedamage_return_v
27	rangedamage_return_v
28	return_resist_melee_v
29	return_resist_range_v
30	ignore_metal_resist_v
31	ignore_wood_resist_v
32	ignore_water_resist_v
33	ignore_fire_resist_v
34	ignore_earth_resist_v
35	series_enhance_resist_v
36	series_abate_resist_v
37	steallife_resist_v
38	stealmana_resist_v
39	enhance_final_damage_own_health_p
40	enhance_final_damage_own_injury_p
41	reduce_damage_health_p
42	reduce_damage_injury_p
