nEquipTemplateId1	nEquipTemplateId2	nRefundCoinNum	nComposeTemplateId1	nProbability1	nComposeTemplateId2	nProbability2	nComposeTemplateId3	nProbability3
81004	81004	10000	80009	50	0	0	0	0
81004	80008	10000	80009	50	0	0	0	0
80008	81004	10000	80009	50	0	0	0	0
80008	80008	10000	80009	50	0	0	0	0
81005	81005	30000	84000	50	0	0	0	0
81005	80009	30000	84000	50	0	0	0	0
80009	81005	30000	84000	50	0	0	0	0
80009	80009	30000	84000	50	0	0	0	0
81009	81009	10000	80014	50	0	0	0	0
81009	80013	10000	80014	50	0	0	0	0
80013	81009	10000	80014	50	0	0	0	0
80013	80013	10000	80014	50	0	0	0	0
81010	81010	30000	84001	50	0	0	0	0
81010	80014	30000	84001	50	0	0	0	0
80014	81010	30000	84001	50	0	0	0	0
80014	80014	30000	84001	50	0	0	0	0
81014	81014	10000	80019	50	0	0	0	0
81014	80018	10000	80019	50	0	0	0	0
80018	81014	10000	80019	50	0	0	0	0
80018	80018	10000	80019	50	0	0	0	0
81015	81015	30000	84002	50	0	0	0	0
81015	80019	30000	84002	50	0	0	0	0
80019	81015	30000	84002	50	0	0	0	0
80019	80019	30000	84002	50	0	0	0	0
81019	81019	10000	80024	50	0	0	0	0
81019	80023	10000	80024	50	0	0	0	0
80023	81019	10000	80024	50	0	0	0	0
80023	80023	10000	80024	50	0	0	0	0
81020	81020	30000	84003	50	0	0	0	0
81020	80024	30000	84003	50	0	0	0	0
80024	81020	30000	84003	50	0	0	0	0
80024	80024	30000	84003	50	0	0	0	0
82004	82004	10000	80104	50	0	0	0	0
82004	80103	10000	80104	50	0	0	0	0
80103	82004	10000	80104	50	0	0	0	0
80103	80103	10000	80104	50	0	0	0	0
82005	82005	30000	85000	50	0	0	0	0
82005	80104	30000	85000	50	0	0	0	0
80104	82005	30000	85000	50	0	0	0	0
80104	80104	30000	85000	50	0	0	0	0
82009	82009	10000	80109	50	0	0	0	0
82009	80108	10000	80109	50	0	0	0	0
80108	82009	10000	80109	50	0	0	0	0
80108	80108	10000	80109	50	0	0	0	0
82010	82010	30000	85001	50	0	0	0	0
82010	80109	30000	85001	50	0	0	0	0
80109	82010	30000	85001	50	0	0	0	0
80109	80109	30000	85001	50	0	0	0	0
82014	82014	10000	80114	50	0	0	0	0
82014	80113	10000	80114	50	0	0	0	0
80113	82014	10000	80114	50	0	0	0	0
80113	80113	10000	80114	50	0	0	0	0
82015	82015	30000	85002	50	0	0	0	0
82015	80114	30000	85002	50	0	0	0	0
80114	82015	30000	85002	50	0	0	0	0
80114	80114	30000	85002	50	0	0	0	0
82019	82019	10000	80119	50	0	0	0	0
82019	80118	10000	80119	50	0	0	0	0
80118	82019	10000	80119	50	0	0	0	0
80118	80118	10000	80119	50	0	0	0	0
82020	82020	30000	85003	50	0	0	0	0
82020	80119	30000	85003	50	0	0	0	0
80119	82020	30000	85003	50	0	0	0	0
80119	80119	30000	85003	50	0	0	0	0
83004	83004	10000	80204	50	0	0	0	0
83004	80203	10000	80204	50	0	0	0	0
80203	83004	10000	80204	50	0	0	0	0
80203	80203	10000	80204	50	0	0	0	0
83005	83005	30000	86000	50	0	0	0	0
83005	80204	30000	86000	50	0	0	0	0
80204	83005	30000	86000	50	0	0	0	0
80204	80204	30000	86000	50	0	0	0	0
83009	83009	10000	80209	50	0	0	0	0
83009	80208	10000	80209	50	0	0	0	0
80208	83009	10000	80209	50	0	0	0	0
80208	80208	10000	80209	50	0	0	0	0
83010	83010	30000	86001	50	0	0	0	0
83010	80209	30000	86001	50	0	0	0	0
80209	83010	30000	86001	50	0	0	0	0
80209	80209	30000	86001	50	0	0	0	0
83014	83014	10000	80214	50	0	0	0	0
83014	80213	10000	80214	50	0	0	0	0
80213	83014	10000	80214	50	0	0	0	0
80213	80213	10000	80214	50	0	0	0	0
83015	83015	30000	86002	50	0	0	0	0
83015	80214	30000	86002	50	0	0	0	0
80214	83015	30000	86002	50	0	0	0	0
80214	80214	30000	86002	50	0	0	0	0
83019	83019	10000	80219	50	0	0	0	0
83019	80218	10000	80219	50	0	0	0	0
80218	83019	10000	80219	50	0	0	0	0
80218	80218	10000	80219	50	0	0	0	0
83020	83020	30000	86003	50	0	0	0	0
83020	80219	30000	86003	50	0	0	0	0
80219	83020	30000	86003	50	0	0	0	0
80219	80219	30000	86003	50	0	0	0	0
